real_name,stage,k_01,k_02,k_03,k_04,k_05,k_06,k_07,k_08,k_09,k_10
1,1,2.5,0.458933,5.72268,5.43885,2.63255,3.54465,1.42221,0.487913,5.61808,23.7236
2,1,2.5,3.90261,1.71517,25,1.43728,18.5414,4.88651,1.78368,0.48787,4.71507
3,1,2.5,2.44147,0.557501,2.21394,4.17154,25,0.305533,1.539,0.971774,24.8923
4,1,2.5,1.94855,1.53397,6.61103,6.95849,24.1185,1.30547,1.01816,1.90655,24.8679
5,1,2.5,0.663142,17.9234,25,14.7835,23.93,5.65365,0.271066,2.71046,5.52942
6,1,2.5,1.56345,0.986545,2.18688,1.34288,25,0.442002,1.73318,2.54058,24.5759
7,1,2.5,11.4937,0.993576,0.980039,0.906941,24.7142,5.31989,1.59874,0.583098,3.46086
8,1,2.5,1.28426,1.58194,18.3402,6.61945,25,8.34745,3.16345,0.407503,7.13483
9,1,2.5,1.48817,2.72124,3.85109,1.15951,23.1923,0.8274,8.23428,1.58838,14.4439
10,1,2.5,1.26697,0.822793,2.10434,0.367989,25,1.46444,4.43,1.07901,1.23988
11,1,2.5,1.07855,1.68145,1.7784,0.623617,8.53133,1.23717,2.9166,0.334273,7.63469
12,1,2.5,0.461021,1.34919,7.5665,7.95289,14.8875,2.86671,6.4766,0.660619,1.51302
13,1,2.5,1.30579,2.10281,1.1105,0.564486,20.9204,2.40674,0.906529,5.68223,12.6535
14,1,2.5,0.865244,1.04207,5.82593,0.498324,25,8.59188,1.99689,0.710908,24.6864
15,1,2.5,3.61167,14.6237,1.17068,1.39272,24.0202,0.568901,0.253006,0.433514,11.1917
16,1,2.5,2.34604,7.5486,3.73023,1.30038,18.661,1.54921,0.286683,1.6744,4.71642
17,1,2.5,2.92402,0.467756,7.17675,11.6342,2.36488,1.38122,2.28675,1.09178,8.74999
18,1,2.5,0.578597,2.31674,0.543399,5.57684,24.7618,15.7049,0.792411,4.6065,12.8026
19,1,2.5,0.538541,4.08746,25,0.469447,24.6853,15.801,3.34575,5.03829,24.6596
20,1,2.5,1.21155,6.24304,0.578485,3.17911,21.7964,15.279,17.4898,1.2458,4.76183
21,1,2.5,0.604033,1.31587,2.77397,2.73076,15.5097,4.51751,2.78637,0.998162,24.7163
22,1,2.5,6.55933,4.49568,1.72512,0.583441,24.4412,2.11562,1.56848,0.408184,10.8282
23,1,2.5,0.488858,6.79786,3.19401,3.01447,23.4286,2.93758,6.38486,0.404436,24.6428
24,1,2.5,0.534604,1.67723,5.41783,1.02656,24.7179,1.60072,1.42524,0.566167,24.8225
25,1,2.5,11.9024,0.667132,2.69969,2.54202,18.9973,1.38677,12.3861,1.87429,18.6595
26,1,2.5,0.60533,1.51289,1.53258,18.2558,24.8046,0.660875,2.69808,1.54061,3.44538
27,1,2.5,0.640809,0.733496,1.0097,25,25,3.98746,0.787386,0.572669,9.47405
28,1,2.5,0.515052,3.23453,19.1986,1.18286,25,0.643056,2.01058,0.538943,3.77189
29,1,2.5,1.06651,1.67064,11.8333,6.8555,25,0.896947,3.04903,0.356759,24.851
30,1,2.5,2.1002,8.13049,13.4846,3.01995,24.3753,2.65392,13.0673,0.29858,5.27239
31,1,2.5,0.367291,1.28412,0.729711,8.85094,8.09894,2.24309,3.37307,3.39162,24.5952
32,1,2.5,2.78114,1.8554,7.65847,1.22153,24.5124,0.273328,0.973066,0.475977,19.5214
33,1,2.5,1.46102,1.18263,6.65027,7.61743,8.88357,0.454529,1.67869,1.34501,10.0632
34,1,2.5,3.06882,8.09322,21.0169,0.453393,20.3512,0.970186,1.96609,1.93017,3.59327
35,1,2.5,6.52318,8.97475,0.859756,5.87766,7.9548,1.15807,0.381039,12.002,10.0752
36,1,2.5,0.746093,4.9426,17.7749,24.6815,10.7551,4.97156,2.32449,0.271173,11.3788
37,1,2.5,0.596907,4.7312,4.69572,1.31457,23.4035,1.11183,2.71892,0.601356,24.8148
38,1,2.5,0.510491,1.36238,0.810706,0.750358,25,2.10691,0.616078,0.298885,16.2946
39,1,2.5,3.46942,2.18666,4.53725,0.406508,13.3368,6.51181,1.23113,8.16523,24.7614
40,1,2.5,2.80993,1.44717,1.15041,4.43858,9.42675,0.25,4.06983,0.636229,20.7723
41,1,2.5,3.81118,15.8032,1.69514,5.0824,3.76483,10.3297,1.49285,6.63887,24.7676
42,1,2.5,1.0468,1.2597,3.72369,1.67868,12.1636,1.18608,2.8852,1.6257,20.377
43,1,2.5,1.52171,2.73563,1.12038,0.941101,2.9218,1.65153,1.13235,0.647604,4.99175
44,1,2.5,0.295151,3.19249,2.07555,5.94679,4.42097,0.945684,2.18484,1.38243,1.81364
45,1,2.5,2.1431,1.40824,25,6.1158,24.3898,0.302414,3.20164,1.49713,7.0224
46,1,2.5,0.736836,0.729153,2.37521,1.52277,2.8317,0.630169,0.337322,0.35059,23.0034
47,1,2.5,0.518178,5.3457,9.09255,2.49832,6.65897,7.9123,3.23748,0.759528,2.96178
48,1,2.5,0.394516,2.01832,8.98302,2.88484,2.56432,15.741,21.345,5.22683,2.04972
