real_name,h01_01,h01_02,h01_03,h01_04,h01_05,h01_06,h01_07,h01_08,h01_09,h01_10,h02_01,h02_02,h02_03,h02_04,h02_05,h02_06,h02_07,h02_08,h02_09,h02_10
1,1,2.074,3.061,3.084,3.104,3.156,3.919,4.715,4.848,4.918,1,3.148,5.122,5.168,5.208,5.312,6.838,8.431,8.697,8.837
3,1,1.35,1.894,2.265,2.384,2.437,3.425,4.525,4.949,5.26,1,1.699,2.788,3.531,3.768,3.874,5.85,8.051,8.899,9.521
5,1,1.852,2.615,2.635,2.655,2.678,2.995,3.404,3.6,3.716,1,2.705,4.229,4.269,4.309,4.356,4.99,5.807,6.199,6.432
6,1,1.381,1.781,1.926,1.971,2.001,3.011,4.084,4.277,4.407,1,1.762,2.563,2.852,2.943,3.002,5.022,7.168,7.554,7.814
7,1,1.291,1.624,1.785,1.815,1.84,2.222,2.628,3.256,3.885,1,1.582,2.247,2.57,2.629,2.679,3.443,4.256,5.511,6.77
8,1,1.538,2.036,2.107,2.127,2.148,2.412,2.689,3.192,3.69,1,2.076,3.073,3.213,3.253,3.296,3.824,4.377,5.384,6.38
9,1,1.68,2.311,2.372,2.392,2.415,3.12,3.824,4.006,4.188,1,2.36,3.622,3.743,3.783,3.829,5.239,6.647,7.011,7.376
10,1,1.944,3,3.231,3.275,3.311,4.099,4.903,5.201,5.544,1,2.888,4.999,5.462,5.55,5.622,7.198,8.805,9.401,10.089
11,1,1.773,2.534,2.634,2.657,2.699,3.5,4.3,4.895,5.478,1,2.546,4.068,4.269,4.314,4.398,6,7.6,8.79,9.956
12,1,2.099,3.255,3.422,3.442,3.472,3.772,4.063,4.535,5.09,1,3.197,5.509,5.844,5.884,5.943,6.544,7.126,8.071,9.18
13,1,1.734,2.437,2.517,2.539,2.565,3.187,3.861,3.988,4.06,1,2.467,3.873,4.035,4.078,4.13,5.373,6.723,6.976,7.119
14,1,1.758,2.552,2.698,2.738,2.777,3.06,3.391,3.803,4.165,1,2.516,4.104,4.396,4.475,4.554,5.119,5.782,6.605,7.33
15,1,1.333,1.58,1.624,1.667,1.691,2.506,3.672,4.545,5.066,1,1.665,2.16,2.248,2.333,2.382,4.012,6.345,8.089,9.133
16,1,1.425,1.766,1.794,1.814,1.838,2.569,3.453,3.772,3.95,1,1.849,2.533,2.587,2.627,2.676,4.138,5.907,6.544,6.899
18,1,2.099,3.189,3.303,3.336,3.36,3.493,3.684,3.837,3.933,1,3.198,5.378,5.606,5.673,5.72,5.987,6.367,6.674,6.867
19,1,1.748,2.416,2.446,2.466,2.487,2.651,2.823,2.901,2.97,1,2.495,3.831,3.892,3.932,3.975,4.302,4.646,4.801,4.94
20,1,2.098,3.123,3.158,3.178,3.2,3.31,3.416,3.67,3.948,1,3.197,5.245,5.316,5.356,5.401,5.619,5.833,6.34,6.896
21,1,2.098,3.186,3.285,3.305,3.332,3.684,4.039,4.314,4.58,1,3.197,5.371,5.57,5.61,5.665,6.368,7.079,7.627,8.16
22,1,1.222,1.385,1.438,1.462,1.488,2.268,3.097,3.622,4.098,1,1.444,1.77,1.876,1.925,1.975,3.537,5.194,6.245,7.195
23,1,2.092,3.108,3.142,3.162,3.185,3.673,4.159,4.681,5.204,1,3.184,5.217,5.284,5.324,5.37,6.345,7.318,8.362,9.408
24,1,1.776,2.56,2.68,2.712,2.744,3.636,4.593,5.185,5.712,1,2.553,4.121,4.36,4.424,4.488,6.273,8.185,9.369,10.425
25,1,1.226,1.523,1.704,1.724,1.749,2.459,3.165,3.328,3.494,1,1.452,2.046,2.409,2.449,2.498,3.918,5.329,5.656,5.987
