real_name,stage,k_01,k_02,k_03,k_04,k_05,k_06,k_07,k_08,k_09,k_10
1,1,2.5,0.25,9.17018,16.6006,25,2.47244,0.687358,1.99226,1.27728,16.9963
2,1,2.5,0.479841,9.36976,17.1525,25,15.1346,1.3868,5.74582,0.25,8.18978
3,1,2.5,0.361093,0.753076,4.14466,3.90095,17.4918,0.386155,2.48256,0.403715,20.0632
4,1,2.5,0.25,5.80424,13.2932,25,13.0558,0.644404,2.74962,0.671346,16.8205
6,1,2.5,0.25,0.83838,4.20795,6.47128,14.1896,0.484956,3.3851,0.790992,17.6715
7,1,2.5,0.309725,1.26983,9.83146,7.80524,10.2326,3.70505,4.54796,0.25,4.54429
8,1,2.5,0.25,3.19805,15.5795,25,14.9529,3.57727,6.79528,0.25,11.857
10,1,2.5,0.25,0.737966,8.82326,1.98482,11.2444,1.3239,9.01622,0.336072,1.9523
11,1,2.5,0.25,1.21443,9.52061,11.9574,4.13546,1.08384,8.13318,0.25,9.03816
12,1,2.5,0.25,1.06903,14.5985,25,5.95088,1.61831,22.7063,0.25,2.29614
13,1,2.5,0.25,1.78183,8.49565,12.0619,8.56866,1.89057,3.16802,1.14497,12.9868
14,1,2.5,0.25,1.15406,6.74211,1.69709,17.758,4.68479,3.39284,0.301423,20.4079
15,1,2.5,0.438516,10.6462,17.5401,14.5631,16.1983,0.391659,0.735285,0.25,17.0626
16,1,2.5,0.277557,8.42542,16.1296,25,13.7018,0.487767,0.984838,0.543189,7.78589
17,1,2.5,0.25,0.996223,8.97734,25,1.66705,0.868585,7.83124,0.257756,9.93602
18,1,2.5,0.25,1.21141,3.67167,25,9.51774,11.7955,2.67279,0.913192,13.6577
19,1,2.5,0.25,17.5204,22.0446,12.2613,18.7954,3.50338,10.1268,1.47459,21.4586
20,1,2.5,0.25,2.61058,9.56521,25,8.61629,8.36499,25,0.255457,5.1841
21,1,2.5,0.25,1.32746,11.829,25,7.59091,2.91338,8.51345,0.251299,14.8652
22,1,2.5,0.319253,4.08436,10.089,8.79972,11.4686,1.3986,4.20359,0.25,14.2945
23,1,2.5,0.25,5.04896,12.58,25,10.8002,1.94797,16.3961,0.25,15.8005
24,1,2.5,0.25,2.24779,14.5208,3.5719,15.7249,1.1432,2.93937,0.25,18.6934
25,1,2.5,0.396082,1.68128,10.8972,25,10.5844,0.806589,25,0.476255,14.8032
26,1,2.5,0.25,0.954182,9.0862,25,9.47611,0.544881,8.63063,0.336165,4.83383
27,1,2.5,0.25,0.25,2.91163,25,7.95017,3.81205,2.55745,0.25,11.0027
28,1,2.5,0.25,4.32419,16.96,25,14.3305,0.405903,5.16534,0.25,6.54628
29,1,2.5,0.25,4.61355,14.7087,21.5855,14.6152,0.521772,6.28975,0.25,18.0118
30,1,2.5,0.457996,17.2155,21.9305,25,18.9564,0.753515,25,0.25,10.0529
31,1,2.5,0.25,0.403417,3.5327,25,2.83682,2.47462,10.516,0.570062,12.7393
32,1,2.5,0.404116,5.08343,15.8053,8.43336,15.7359,0.425062,2.42356,0.25,18.8422
33,1,2.5,1.09904,9.91796,18.6801,25,8.43055,0.485507,6.84572,0.395987,13.6605
34,1,2.5,0.649369,23.9319,25,17.0082,20.4025,0.271622,6.80761,0.643172,7.36318
35,1,2.5,0.301543,5.01172,12.8109,25,5.90557,0.581077,1.72864,2.5491,13.0424
37,1,2.5,0.25,8.45814,15.8869,19.4663,14.5946,0.591824,8.23189,0.25,17.0629
38,1,2.5,0.25,0.651515,1.21349,7.0622,12.114,1.96119,1.38485,0.25,17.3346
39,1,2.5,0.25,5.60578,13.7194,5.31372,9.4745,2.88829,3.8676,2.04083,16.7317
40,1,2.5,0.25,3.03987,9.89648,22.9961,7.49132,0.711003,10.2993,0.25,14.5548
42,1,2.5,0.25,2.07258,10.9009,25,7.26095,0.776174,8.49068,0.428846,14.7483
43,1,2.5,0.25,2.15786,8.64637,25,1.73325,1.17327,4.03104,0.25,5.90277
44,1,2.5,0.25,1.6516,12.7533,25,1.64963,0.782506,9.76326,0.25,2.3136
45,1,2.5,0.484482,11.8732,20.1962,25,18.2757,0.336363,9.8213,0.494283,12.896
46,1,2.5,0.25,0.257279,4.86615,15.9118,1.55006,0.622828,0.784364,0.25,15.4784
47,1,2.5,0.25,5.88986,14.1569,25,3.5026,3.56248,10.7301,0.25,4.49332
48,1,2.5,0.25,2.81242,15.8972,25,1.31696,6.1971,25,0.88433,2.98911
