real_name,h01_01,h01_02,h01_03,h01_04,h01_05,h01_06,h01_07,h01_08,h01_09,h01_10,h02_01,h02_02,h02_03,h02_04,h02_05,h02_06,h02_07,h02_08,h02_09,h02_10
1,1,2.076,3.064,3.087,3.107,3.159,3.922,4.718,4.85,4.92,1,3.151,5.128,5.175,5.215,5.319,6.844,8.435,8.701,8.841
3,1,1.35,1.894,2.266,2.385,2.437,3.425,4.525,4.949,5.26,1,1.7,2.789,3.532,3.769,3.874,5.85,8.051,8.898,9.521
4,1,1.449,1.873,1.957,1.977,1.998,2.808,3.685,3.912,4.071,1,1.899,2.745,2.913,2.953,2.996,4.616,6.37,6.824,7.142
5,1,1.853,2.616,2.636,2.656,2.679,2.996,3.405,3.601,3.717,1,2.706,4.232,4.272,4.312,4.359,4.993,5.809,6.202,6.435
6,1,1.382,1.782,1.927,1.972,2.002,3.011,4.084,4.277,4.407,1,1.763,2.564,2.853,2.944,3.003,5.022,7.168,7.554,7.814
7,1,1.291,1.624,1.786,1.815,1.84,2.222,2.628,3.256,3.886,1,1.583,2.249,2.572,2.631,2.681,3.444,4.257,5.512,6.771
8,1,1.538,2.037,2.107,2.127,2.148,2.413,2.689,3.192,3.69,1,2.076,3.073,3.214,3.254,3.297,3.825,4.378,5.385,6.38
9,1,1.681,2.313,2.374,2.394,2.417,3.121,3.825,4.007,4.189,1,2.363,3.626,3.748,3.788,3.833,5.242,6.649,7.013,7.379
10,1,1.945,3.002,3.233,3.277,3.313,4.101,4.904,5.202,5.546,1,2.89,5.004,5.467,5.554,5.627,7.202,8.808,9.404,10.092
11,1,1.774,2.536,2.637,2.659,2.702,3.502,4.301,4.896,5.48,1,2.548,4.073,4.273,4.319,4.403,6.004,7.602,8.793,9.96
12,1,2.1,3.257,3.425,3.445,3.474,3.775,4.066,4.538,5.093,1,3.2,5.515,5.85,5.89,5.949,6.55,7.132,8.076,9.186
13,1,1.735,2.439,2.52,2.542,2.568,3.189,3.863,3.99,4.061,1,2.47,3.879,4.04,4.084,4.135,5.378,6.726,6.979,7.122
14,1,1.759,2.553,2.699,2.739,2.778,3.061,3.392,3.803,4.166,1,2.517,4.106,4.399,4.477,4.556,5.121,5.784,6.607,7.332
15,1,1.333,1.58,1.625,1.667,1.692,2.506,3.672,4.544,5.066,1,1.666,2.161,2.25,2.335,2.384,4.013,6.344,8.088,9.132
16,1,1.425,1.768,1.795,1.815,1.839,2.57,3.453,3.772,3.95,1,1.85,2.535,2.59,2.63,2.678,4.139,5.907,6.544,6.899
18,1,2.1,3.191,3.306,3.339,3.363,3.496,3.686,3.839,3.936,1,3.2,5.382,5.611,5.677,5.725,5.991,6.371,6.679,6.871
19,1,1.748,2.417,2.447,2.467,2.488,2.652,2.824,2.902,2.971,1,2.496,3.833,3.894,3.934,3.977,4.304,4.648,4.803,4.942
20,1,2.1,3.126,3.161,3.181,3.204,3.313,3.419,3.673,3.951,1,3.2,5.251,5.322,5.362,5.407,5.625,5.839,6.346,6.903
21,1,2.1,3.189,3.288,3.308,3.336,3.687,4.042,4.317,4.583,1,3.2,5.378,5.577,5.617,5.672,6.374,7.085,7.633,8.166
22,1,1.222,1.385,1.438,1.463,1.488,2.268,3.096,3.622,4.097,1,1.445,1.77,1.877,1.925,1.976,3.536,5.193,6.243,7.195
23,1,2.094,3.112,3.145,3.165,3.188,3.676,4.162,4.684,5.207,1,3.188,5.223,5.291,5.331,5.376,6.351,7.323,8.367,9.414
24,1,1.777,2.561,2.681,2.713,2.745,3.637,4.593,5.185,5.713,1,2.554,4.123,4.363,4.427,4.49,6.274,8.186,9.37,10.426
25,1,1.226,1.524,1.705,1.725,1.75,2.459,3.164,3.328,3.494,1,1.452,2.047,2.41,2.45,2.499,3.919,5.329,5.655,5.987
26,1,2.1,3.204,3.32,3.343,3.366,4.117,4.886,5.103,5.323,1,3.2,5.407,5.641,5.687,5.732,7.234,8.772,9.207,9.647
27,1,2.1,3.636,4.188,4.214,4.24,4.517,4.843,5.428,5.966,1,3.2,6.273,7.377,7.428,7.479,8.034,8.687,9.856,10.931
28,1,1.778,2.497,2.548,2.569,2.591,3.505,4.452,4.878,5.287,1,2.556,3.994,4.096,4.137,4.181,6.01,7.904,8.755,9.574
29,1,1.583,2.124,2.191,2.211,2.231,3.107,4.006,4.618,5.21,1,2.167,3.248,3.382,3.422,3.462,5.215,7.011,8.236,9.419
30,1,1.502,1.922,1.949,1.969,1.992,2.608,3.221,3.858,4.511,1,2.004,2.844,2.899,2.939,2.984,4.216,5.441,6.717,8.022
32,1,1.239,1.437,1.508,1.539,1.57,2.581,3.695,4.219,4.638,1,1.477,1.874,2.016,2.078,2.14,4.162,6.39,7.437,8.276
33,1,1.589,2.165,2.262,2.282,2.318,3.08,3.86,4.093,4.298,1,2.178,3.33,3.525,3.565,3.636,5.161,6.721,7.187,7.595
34,1,1.31,1.533,1.557,1.577,1.6,2.365,3.148,3.308,3.47,1,1.619,2.066,2.114,2.154,2.2,3.729,5.295,5.616,5.94
35,1,1.305,1.525,1.551,1.571,1.608,2.262,2.984,3.114,3.165,1,1.609,2.05,2.102,2.142,2.216,3.523,4.969,5.229,5.329
36,1,1.981,2.881,2.911,2.931,2.965,3.29,3.609,4.259,4.906,1,2.962,4.763,4.822,4.862,4.93,5.58,6.218,7.519,8.813
37,1,2.002,2.933,2.971,2.991,3.013,3.787,4.582,4.976,5.348,1,3.004,4.865,4.942,4.982,5.026,6.574,8.164,8.952,9.696
38,1,1.938,3.049,3.368,3.425,3.449,4.026,4.716,5.802,6.773,1,2.876,5.097,5.737,5.851,5.898,7.051,8.431,10.603,12.545
39,1,1.339,1.614,1.66,1.68,1.707,2.098,2.517,2.623,2.699,1,1.678,2.228,2.319,2.359,2.414,3.197,4.033,4.247,4.398
40,1,1.385,1.766,1.892,1.933,1.966,2.795,3.632,4.035,4.419,1,1.77,2.532,2.784,2.866,2.931,4.589,6.264,7.071,7.838
41,1,1.382,1.673,1.693,1.713,1.765,1.98,2.18,2.259,2.326,1,1.763,2.347,2.387,2.427,2.53,2.961,3.359,3.517,3.652
42,1,1.682,2.339,2.423,2.443,2.472,3.263,4.06,4.245,4.416,1,2.364,3.678,3.846,3.886,3.944,5.526,7.12,7.49,7.832
44,1,2.1,3.183,3.276,3.296,3.363,3.933,4.47,4.717,5.007,1,3.2,5.366,5.552,5.592,5.726,6.867,7.941,8.434,9.014
45,1,1.332,1.601,1.649,1.669,1.689,2.479,3.278,3.464,3.651,1,1.663,2.202,2.297,2.337,2.377,3.958,5.555,5.928,6.302
46,1,1.766,2.651,2.881,2.903,2.972,3.93,5.048,5.847,6.439,1,2.532,4.302,4.763,4.806,4.944,6.86,9.095,10.695,11.879
47,1,2.1,3.12,3.149,3.169,3.209,3.438,3.652,3.964,4.304,1,3.2,5.239,5.298,5.338,5.418,5.876,6.303,6.928,7.609
48,1,2.1,3.174,3.259,3.279,3.358,3.491,3.566,3.666,3.837,1,3.2,5.349,5.518,5.558,5.716,5.983,6.131,6.331,6.674
