real_name,h01_01,h01_02,h01_03,h01_04,h01_05,h01_06,h01_07,h01_08,h01_09,h01_10,h02_01,h02_02,h02_03,h02_04,h02_05,h02_06,h02_07,h02_08,h02_09,h02_10
1,1,2.005,2.927,2.954,2.974,3.035,3.834,4.671,4.816,4.884,1,3.01,4.854,4.908,4.948,5.07,6.668,8.343,8.632,8.767
3,1,1.355,1.895,2.256,2.371,2.423,3.4,4.487,4.909,5.222,1,1.71,2.791,3.511,3.743,3.846,5.801,7.974,8.819,9.445
4,1,1.456,1.888,1.975,1.995,2.017,2.823,3.697,3.926,4.086,1,1.911,2.776,2.95,2.99,3.034,4.646,6.395,6.852,7.172
5,1,1.853,2.616,2.636,2.656,2.68,2.997,3.405,3.601,3.718,1,2.706,4.233,4.273,4.313,4.36,4.993,5.81,6.203,6.436
6,1,1.381,1.781,1.925,1.971,2.001,3.011,4.084,4.277,4.407,1,1.762,2.562,2.851,2.942,3.001,5.021,7.167,7.553,7.813
7,1,1.219,1.437,1.556,1.584,1.607,2.061,2.548,3.125,3.692,1,1.438,1.875,2.111,2.169,2.215,3.123,4.096,5.249,6.384
8,1,1.538,2.035,2.106,2.126,2.147,2.411,2.688,3.191,3.689,1,2.075,3.071,3.211,3.251,3.294,3.823,4.376,5.382,6.378
9,1,1.682,2.316,2.376,2.396,2.419,3.123,3.826,4.008,4.191,1,2.365,3.631,3.752,3.792,3.838,5.246,6.652,7.016,7.382
10,1,1.946,3.004,3.236,3.28,3.316,4.103,4.906,5.204,5.548,1,2.892,5.009,5.472,5.56,5.632,7.206,8.811,9.408,10.095
11,1,1.786,2.545,2.629,2.649,2.686,3.473,4.26,4.864,5.459,1,2.572,4.09,4.258,4.298,4.372,5.946,7.52,8.728,9.917
12,1,2.1,3.248,3.406,3.426,3.457,3.831,4.192,4.601,5.08,1,3.2,5.496,5.812,5.852,5.915,6.661,7.385,8.203,9.16
13,1,1.726,2.411,2.481,2.501,2.525,3.145,3.816,3.939,4.011,1,2.452,3.823,3.962,4.002,4.049,5.291,6.632,6.878,7.022
14,1,1.758,2.552,2.698,2.737,2.776,3.059,3.39,3.802,4.164,1,2.516,4.103,4.395,4.474,4.553,5.118,5.781,6.604,7.329
15,1,1.336,1.586,1.631,1.673,1.698,2.509,3.669,4.542,5.065,1,1.671,2.172,2.262,2.347,2.396,4.017,6.338,8.083,9.13
16,1,1.425,1.768,1.795,1.815,1.84,2.57,3.453,3.772,3.95,1,1.851,2.536,2.591,2.631,2.679,4.14,5.907,6.544,6.9
17,1,1.6,2.337,2.584,2.604,2.698,3.425,4.093,4.356,4.612,1,2.199,3.673,4.168,4.208,4.396,5.85,7.185,7.712,8.225
18,1,2.1,3.191,3.305,3.338,3.362,3.496,3.686,3.839,3.936,1,3.2,5.382,5.611,5.677,5.725,5.991,6.371,6.679,6.871
19,1,1.748,2.417,2.447,2.467,2.489,2.652,2.824,2.902,2.971,1,2.496,3.834,3.895,3.935,3.977,4.304,4.648,4.804,4.942
20,1,2.1,3.13,3.171,3.191,3.216,3.341,3.462,3.693,3.945,1,3.2,5.261,5.342,5.382,5.432,5.683,5.924,6.386,6.891
21,1,2.1,3.185,3.28,3.3,3.327,3.698,4.075,4.342,4.599,1,3.2,5.369,5.559,5.599,5.654,6.396,7.15,7.684,8.198
22,1,1.245,1.424,1.47,1.491,1.513,2.238,3.002,3.544,4.048,1,1.489,1.848,1.939,1.981,2.025,3.475,5.004,6.089,7.097
23,1,2.1,3.124,3.157,3.177,3.2,3.702,4.204,4.719,5.235,1,3.2,5.247,5.315,5.355,5.4,6.405,7.407,8.438,9.471
24,1,1.777,2.562,2.681,2.714,2.745,3.637,4.593,5.185,5.713,1,2.554,4.123,4.363,4.427,4.49,6.275,8.186,9.37,10.426
25,1,1.226,1.524,1.705,1.725,1.75,2.459,3.164,3.328,3.494,1,1.452,2.047,2.41,2.45,2.5,3.919,5.329,5.656,5.987
26,1,2.1,3.198,3.309,3.332,3.354,4.126,4.917,5.132,5.348,1,3.2,5.396,5.619,5.664,5.709,7.252,8.834,9.264,9.697
