real_name,stage,k_01,k_02,k_03,k_04,k_05,k_06,k_07,k_08,k_09,k_10
0,1,2.5,2.55032,2.24799,0.257106,1.22208,2.16932,4.5836,2.90553,3.00153,5.94468
1,1,2.5,1.07913,7.29488,3.07333,2.85527,0.428547,2.01938,0.604979,11.6698,4.78363
2,1,2.5,6.55114,1.50251,12.1733,1.2225,2.20775,7.80563,2.00228,0.927845,0.956655
3,1,2.5,3.44886,0.45431,0.995468,6.60609,23.1477,0.451997,1.87678,1.72153,11.7296
4,1,2.5,5.27594,2.29804,4.40163,8.59026,3.48023,1.75548,1.32267,4.10529,24.4774
5,1,2.5,1.70793,25,17.1562,15.9582,4.29478,7.87738,0.309017,5.77998,1.1145
6,1,2.5,1.43738,0.477152,0.550494,1.18883,5.21859,0.798696,1.77344,4.06019,9.03789
7,1,2.5,24.6089,1.17107,0.536588,1.08053,8.99264,7.57694,1.98491,1.17528,0.69702
8,1,2.5,1.64389,1.11197,6.69453,7.69896,10.2295,13.352,3.59096,0.709328,1.44157
base,1,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
