real_name,h01_01,h01_02,h01_03,h01_04,h01_05,h01_06,h01_07,h01_08,h01_09,h01_10,h02_01,h02_02,h02_03,h02_04,h02_05,h02_06,h02_07,h02_08,h02_09,h02_10
1,1,2.1,3.133,3.199,3.256,3.356,3.712,4.25,4.63,4.764,1,3.2,5.266,5.398,5.512,5.713,6.425,7.499,8.26,8.528
2,1,1.527,2.058,2.173,2.207,2.25,2.372,2.554,3.632,4.657,1,2.054,3.117,3.345,3.414,3.499,3.743,4.107,6.264,8.314
3,1,1.55,2.29,2.68,2.849,2.928,3.818,4.809,5.486,6.061,1,2.1,3.579,4.359,4.697,4.855,6.635,8.618,9.972,11.123
4,1,2.01,3.033,3.175,3.222,3.253,3.532,3.939,4.398,4.727,1,3.021,5.065,5.35,5.445,5.505,6.064,6.878,7.795,8.454
5,1,2.1,3.114,3.137,3.157,3.181,3.291,3.836,4.503,4.744,1,3.2,5.227,5.274,5.314,5.361,5.582,6.672,8.006,8.488
6,1,1.753,2.588,2.867,3.011,3.072,4.076,5.159,5.51,5.783,1,2.505,4.177,4.733,5.022,5.144,7.153,9.317,10.021,10.565
7,1,1.355,1.824,2.236,2.521,2.622,2.707,2.873,3.969,5.004,1,1.709,2.648,3.473,4.042,4.243,4.414,4.747,6.937,9.009
8,1,1.949,2.905,3.024,3.046,3.069,3.149,3.267,4.316,5.333,1,2.897,4.809,5.048,5.092,5.137,5.298,5.534,7.633,9.666
9,1,2.1,3.178,3.305,3.394,3.449,3.85,4.256,4.683,5.101,1,3.2,5.356,5.61,5.788,5.898,6.701,7.512,8.366,9.202
10,1,2.1,3.331,3.658,3.941,4.142,4.414,4.711,5.316,5.97,1,3.2,5.663,6.316,6.882,7.283,7.828,8.422,9.633,10.94
11,1,2.1,3.234,3.477,3.639,3.729,4.08,4.446,5.497,6.514,1,3.2,5.468,5.955,6.277,6.457,7.161,7.891,9.994,12.028
12,1,2.1,3.307,3.545,3.587,3.622,3.794,3.964,4.988,6.062,1,3.2,5.613,6.09,6.173,6.245,6.588,6.929,8.976,11.124
13,1,2.1,3.206,3.477,3.709,3.792,3.977,4.294,4.576,4.721,1,3.2,5.412,5.955,6.418,6.585,6.954,7.587,8.153,8.442
14,1,1.991,3.027,3.206,3.387,3.545,3.627,3.776,4.628,5.412,1,2.983,5.054,5.412,5.774,6.09,6.254,6.551,8.255,9.823
15,1,1.533,1.986,2.136,2.344,2.437,3.034,4.26,5.901,6.914,1,2.066,2.972,3.271,3.689,3.875,5.068,7.519,10.802,12.827
16,1,1.976,2.881,2.957,3.032,3.079,3.355,4.086,4.945,5.357,1,2.952,4.762,4.913,5.065,5.158,5.711,7.173,8.89,9.713
17,1,2.1,3.645,4.227,4.275,4.408,4.773,5.082,5.786,6.439,1,3.2,6.29,7.454,7.549,7.815,8.545,9.164,10.573,11.877
18,1,2.1,3.203,3.629,3.962,3.987,4.031,4.23,4.563,4.738,1,3.2,5.406,6.258,6.925,6.974,7.062,7.46,8.127,8.476
19,1,2.1,3.131,3.171,3.274,3.379,3.437,3.526,3.694,3.83,1,3.2,5.261,5.343,5.547,5.757,5.874,6.051,6.389,6.659
20,1,2.1,3.148,3.505,3.829,3.861,3.902,3.936,4.494,5.07,1,3.2,5.296,6.011,6.658,6.722,6.804,6.873,7.988,9.141
21,1,2.1,3.249,3.468,3.558,3.598,3.716,3.867,4.541,5.172,1,3.2,5.499,5.936,6.115,6.197,6.432,6.734,8.082,9.344
22,1,1.361,1.666,1.808,1.96,2.028,2.272,2.589,3.676,4.688,1,1.721,2.332,2.617,2.92,3.055,3.544,4.178,6.352,8.376
23,1,2.1,3.13,3.217,3.286,3.314,3.492,3.681,4.706,5.717,1,3.2,5.261,5.433,5.572,5.629,5.985,6.362,8.412,10.433
24,1,2.1,3.186,3.306,3.43,3.534,3.812,4.181,5.194,6.114,1,3.2,5.373,5.611,5.86,6.067,6.624,7.363,9.387,11.228
25,1,1.368,1.954,2.352,2.456,2.498,2.761,3.021,3.396,3.769,1,1.736,2.908,3.703,3.911,3.996,4.522,5.041,5.793,6.538
26,1,2.1,3.233,3.481,3.605,3.63,4.263,4.934,5.423,5.893,1,3.2,5.466,5.962,6.211,6.26,7.525,8.868,9.847,10.786
27,1,2.1,3.696,4.553,4.824,4.85,4.964,5.235,6.409,7.424,1,3.2,6.391,8.105,8.648,8.7,8.927,9.471,11.819,13.847
28,1,2.1,3.166,3.244,3.276,3.311,4.012,4.767,5.837,6.867,1,3.2,5.332,5.488,5.553,5.623,7.024,8.534,10.673,12.734
29,1,2.1,3.196,3.31,3.347,3.378,3.815,4.293,5.346,6.357,1,3.2,5.393,5.621,5.694,5.757,6.63,7.585,9.692,11.713
30,1,1.966,2.857,2.897,2.941,2.982,3.142,3.302,4.316,5.34,1,2.932,4.715,4.795,4.882,4.965,5.284,5.604,7.632,9.68
31,1,2.1,3.358,3.922,4.238,4.292,4.483,4.674,4.966,5.224,1,3.2,5.716,6.844,7.475,7.584,7.965,8.348,8.932,9.447
32,1,1.531,2.048,2.159,2.241,2.31,3.323,4.467,5.61,6.621,1,2.063,3.097,3.319,3.482,3.62,5.646,7.933,10.221,12.241
33,1,2.1,3.277,3.486,3.528,3.574,4.256,4.988,5.552,6.045,1,3.2,5.554,5.972,6.056,6.147,7.511,8.976,10.104,11.089
34,1,1.686,2.297,2.332,2.435,2.544,2.96,3.431,3.831,4.192,1,2.373,3.595,3.664,3.87,4.089,4.92,5.862,6.661,7.383
35,1,1.522,1.97,2.189,2.391,2.441,2.797,3.427,3.808,3.889,1,2.043,2.94,3.378,3.782,3.883,4.594,5.853,6.616,6.778
