,curv_cond,mean_en_phi
2.3859984397040194e-05,-0.0030752356683703265,1.78762507
6.795409138308898e-05,-0.008758381487388764,1.78762494
0.00019353568966600185,-0.024944184625523277,1.78762487
0.0005511965859912329,-0.07104193252238618,1.78762699
0.0015698276474623918,-0.20232997198676694,1.78765192
0.00447092544723508,-0.5762430174779205,1.78787627
0.012733356038827888,-1.6411607827128039,1.78975894
0.03626505472414544,-4.674084775036228,1.80520889
0.10328417662515346,-13.311961091412863,1.93103715
0.29415703967029566,-37.912942667565645,2.95309348
0.8377697999338943,-107.97742059517698,11.2467863
2.3859984397040193,-307.52356683624305,78.5160423
