,curv_cond,mean_en_phi
2.3853003643082123e-05,-0.003059210412615579,1.78769071
6.793420994542766e-05,-0.008712740984231342,1.78768814
0.00019347906661842636,-0.024814198835500602,1.7876811
0.0005510353215207578,-0.07067172833001181,1.78766338
0.0015693683604661743,-0.20127561716821424,1.78763191
0.0044696173813959465,-0.5732401771366484,1.78769633
0.01272963062039976,-1.6326085857136663,1.7891292
0.036254444598837206,-4.649727811228762,1.8033444
0.10325395860770699,-13.242591584842994,1.92603279
0.2940709776727351,-37.715375824678965,2.94223323
0.8375246922779326,-107.4147431402221,11.2449964
2.385300364308212,-305.92104126217134,78.7653758
