,curv_cond,mean_en_phi
2.385997896151298e-05,-0.0030752358651858626,1.78762239
6.795407590251251e-05,-0.008758382047942978,1.78762227
0.00019353564557676479,-0.02494418622201548,1.78762219
0.0005511964604235043,-0.07104193706924429,1.7876243
0.0015698272898409969,-0.20232998493635612,1.78764921
0.004470924428716521,-0.5762430543588184,1.78787349
0.012733353138050497,-1.6411608877509172,1.78975596
0.03626504646262739,-4.6740850741885325,1.80520536
0.10328415309605371,-13.311961943409365,1.93103205
0.29415697265857566,-37.91294509408223,2.95308395
0.8377696090821121,-107.97742750598324,11.2467648
2.3859978961512978,-307.5235865184672,78.5159913
