,curv_cond,mean_en_phi
2.4493527735576384e-05,-0.00288556779520228,1.79670407
6.975844553544861e-05,-0.008218200581535582,1.79673449
0.00019867455501128316,-0.02340573003020212,1.79682142
0.0005658322588176558,-0.06666035865292437,1.79707134
0.0016115105686307354,-0.1898510924463373,1.79780203
0.004589639901823705,-0.5407027209488873,1.80003639
0.013071459063598084,-1.5399407434232746,1.8076436
0.0372279842659176,-4.3858064725351875,1.839397
0.10602663449889702,-12.490934145798104,2.01165608
0.3019676580623915,-35.574628477502515,3.1659327
0.8600147212692475,-101.31781791020477,11.8360588
2.449352773557638,-288.5567795199108,80.1762563
