,curv_cond,mean_en_phi
2.3859964036101496e-05,-0.0030752364492297414,1.78761704
6.795403339440525e-05,-0.008758383711325516,1.78761691
0.00019353552451215061,-0.02494419095936775,1.78761683
0.0005511961156271408,-0.07104195056141159,1.78761892
0.0015698263078485863,-0.20233002336253103,1.78764378
0.004470921631966912,-0.5762431637979413,1.78786793
0.012733345172807298,-1.6411611994374637,1.78975001
0.036265023777329056,-4.674085961883019,1.80519829
0.10328408848751038,-13.311964471595115,1.93102184
0.29415678865112677,-37.912952294445944,2.95306491
0.8377690850222976,-107.97744801287736,11.2467217
2.3859964036101493,-307.52364492283715,78.5158893
