,curv_cond,mean_en_phi
2.3859960738203653e-05,-0.003075236622728143,1.7876157
6.79540240018739e-05,-0.008758384205451025,1.78761557
0.00019353549776188444,-0.02494419236664499,1.78761549
0.0005511960394414232,-0.07104195456938103,1.78761758
0.0015698260908689299,-0.20233003477737438,1.78764243
0.004470921014001069,-0.576243196307819,1.78786654
0.012733343412818409,-1.6411612920267502,1.78974852
0.03626501876481757,-4.674086225580647,1.80519652
0.10328407421169787,-13.311965222615397,1.93101928
0.29415674799310076,-37.91295443337863,2.95306013
0.8377689692267812,-107.97745410463442,11.2467108
2.385996073820365,-307.5236622723797,78.5158631
