,curv_cond,mean_en_phi
2.6303168755665426e-05,-0.0025428098696937845,1.83974329
7.491236806965496e-05,-0.00724201371551428,1.83966929
0.0002133531112518424,-0.020625514821488836,1.83945881
0.0006076373134876206,-0.058742206016549,1.83886171
0.001730572863812715,-0.1672999097261956,1.83718013
0.0049287335890802735,-0.47647614368628505,1.83254495
0.014037210047664943,-1.357021147672527,1.82059312
0.03997847770851719,-3.864844902797258,1.79668762
0.11386013847931811,-11.007216909107864,1.81080191
0.3242777583741654,-31.348948568792263,2.51773916
0.9235546871855803,-89.28292996166944,9.9393869
2.6303168755665425,-254.2809869698764,74.9477822
