,curv_cond,mean_en_phi
2.374680864348901e-05,-0.0030824880994271553,1.7876153
6.763176277753795e-05,-0.008779036671213615,1.78761501
0.00019261768623596962,-0.025003011329923608,1.78761446
0.000548582079295154,-0.07120947308655012,1.78761522
0.0015623814386136936,-0.2028071335228987,1.7876364
0.0044497183773501234,-0.5776019906478574,1.78785073
0.012672957543131106,-1.6450311870450107,1.78971058
0.036093037642001446,-4.685107825399722,1.80514186
0.10279426580522369,-13.343355134227677,1.93129389
0.29276175608280086,-38.00235402755742,2.95736057
0.8337959822300693,-108.2320673554792,11.2882366
2.3746808643489006,-308.2488099433647,78.8887876
