,curv_cond,mean_en_phi
2.3746785923416996e-05,-0.0030824874715420013,1.78762201
6.763169806995793e-05,-0.008779034882971081,1.78762171
0.00019261750194646076,-0.025003006236950148,1.78762115
0.0005485815544320227,-0.07120945858156787,1.78762189
0.0015623799437846694,-0.20280709221218926,1.78764301
0.004449714120023446,-0.5776018729934981,1.78785717
0.012672945418112024,-1.6450308519611956,1.78971653
0.03609300310951219,-4.685106871068985,1.80514641
0.10279416745545567,-13.343352416259515,1.93129443
0.2927614759791339,-38.00234628668663,2.95734957
0.833795184484779,-108.23204530920152,11.2881917
2.3746785923416995,-308.2487471547751,78.8886387
