,curv_cond,mean_en_phi
2.3879049523024258e-05,-0.0030671380398453046,1.78763216
6.800838954572785e-05,-0.008735319150933615,1.78763267
0.0001936903327807875,-0.024878502264112947,1.78763438
0.000551637015128949,-0.07085486680116643,1.7876416
0.0015710820054441116,-0.2017972021029463,1.78768107
0.004474497903758877,-0.5747256697391923,1.78794681
0.012743530523146088,-1.6368393219279986,1.78994734
0.03629403202042652,-4.6617770997170656,1.80573299
0.10336670500433225,-13.276908390646827,1.93251726
0.29439208345436074,-37.8131113184984,2.95729587
0.8384392130615644,-107.69309733223915,11.2587381
2.3879049523024256,-306.7138039851654,78.5500322
