,curv_cond,mean_en_phi
2.374152147264125e-05,-0.0030816031810264486,1.78763175
6.7616704725321e-05,-0.008776516391860719,1.78763102
0.00019257480036314695,-0.02499583348394125,1.78762924
0.0005484599387911059,-0.07118903032372989,1.7876265
0.0015620335780771755,-0.20274891180113708,1.7876377
0.004448727658064907,-0.5774361730959839,1.78782361
0.012670135939071259,-1.6445589327096692,1.78960252
0.03608500161243248,-4.683762828113646,1.80480326
0.10277137890477145,-13.339524533713975,1.9302987
0.2926965733693956,-37.99144433989677,2.95449518
0.8336103395242891,-108.2009961737082,11.2800432
2.374152147264125,-308.1603181032063,78.865408
