MODEL INPUT FILE
d_var1,    8.8970860E-02
d_var2,    5.2160344E-01
d_var3,    9.0043407E-02
d_var4,    2.1470067E-01
d_var5,    3.2243651E-01
d_var6,    1.5855580E-01
d_var7,    2.8191847E-01
d_var8,    4.4763142E-01
d_var9,    2.0690185E-02
d_var10,     6.8468596E-02
d_var11,     6.0021776E-02
d_var12,     1.0594557E-01
d_var13,     3.0544920E-01
d_var14,     4.6939057E-01
d_var15,     1.4462093E-01
d_var16,     5.1506550E-02
d_var17,     1.4341320E-01
d_var18,     1.7419516E-01
d_var19,     5.6683886E-01
d_var20,     3.3718470E-02
d_var21,     1.6671587E-01
d_var22,     6.2639324E-01
d_var23,     3.3024563E-01
d_var24,     2.5791628E-02
d_var25,     1.2424285E-01
d_var26,     6.1875109E-02
d_var27,     1.2136525E-01
d_var28,     1.2656752E-01
d_var29,     7.3413185E-02
d_var30,     2.2018929E-02
par1,  -1.7527642E-01
par2,   5.8302483E-01
par3,   1.0000000E+00
par4,  -9.4131731E-01
par5,   6.6839019E-01
par6,   5.9294418E-02
par7,  -2.1599163E-01
par8,   7.5851606E-01
par9,  -1.0000000E+00
par10,   -2.2702678E-01
par11,    7.0397343E-01
par12,   -4.6289557E-02
par13,   -4.0697683E-01
par14,   -1.2654064E-01
par15,   -5.2097765E-01
par16,    7.0719971E-01
par17,   -5.3405212E-01
par18,   -3.8822811E-01
par19,   -6.3667108E-02
par20,   -2.7679799E-01
par21,    4.3591125E-01
par22,    1.4876075E-01
par23,    1.1189909E-01
par24,   -6.0005158E-01
par25,   -3.0263400E-01
par26,    8.1555430E-01
par27,   -9.4579114E-01
par28,   -5.5542288E-01
par29,   -4.4405816E-01
par30,    1.2443483E-01
