real_name,stage,k_01,k_02,k_03,k_04,k_05,k_06,k_07,k_08,k_09,k_10
1,1,2.5,0.256926,18.9363,24.9953,24.993,5.96522,0.346585,3.31932,4.34458,20.0465
3,1,2.5,1.00124,0.848297,3.26172,5.93647,23.6527,0.255749,2.03236,0.830863,24.5518
5,1,2.5,0.332417,25,25,25,18.6752,0.823506,2.3803,2.74607,9.85016
6,1,2.5,0.889602,2.10365,9.70028,12.7194,24.985,0.25,3.41691,2.08447,24.952
7,1,2.5,1.31053,1.7658,12.7376,24.8784,16.8249,0.680259,6.35582,0.425219,6.07904
8,1,2.5,0.572797,4.15739,24.9986,24.995,22.1543,0.986756,10.6079,0.521579,13.8866
9,1,2.5,0.431414,4.94523,24.992,24.9895,19.3235,0.36105,20.8725,1.47047,20.083
10,1,2.5,0.296585,1.18085,12.7712,10.3088,20.9846,0.321956,9.09482,0.924083,3.42689
11,1,2.5,0.376639,2.83218,21.5721,22.3177,8.07886,0.322661,8.38976,0.443267,14.2652
12,1,2.5,0.250496,1.59023,25,24.9977,12.7261,0.889355,24.9872,0.541012,2.70391
13,1,2.5,0.395116,3.59551,22.6104,23.0625,16.8416,0.411628,3.69015,4.23037,20.2804
14,1,2.5,0.380245,1.8403,24.2785,8.57955,24.3695,0.91774,4.21656,0.710149,23.6855
15,1,2.5,1.07579,17.1013,8.40057,19.4658,21.4869,0.311076,0.688956,0.490802,20.4141
16,1,2.5,0.771096,14.5387,24.9919,24.9897,17.5129,0.348605,1.48983,1.65807,9.28309
19,1,2.5,0.38656,12.2568,24.9946,24.993,21.9996,1.64358,12.3521,4.35105,21.2443
20,1,2.5,0.250571,9.79167,24.9952,24.9931,20.2037,2.58254,24.9788,1.02538,7.3344
21,1,2.5,0.250689,2.80507,24.9921,24.99,14.3445,0.747916,11.7153,0.988543,18.7005
22,1,2.5,2.04843,6.19306,19.6119,21.5214,18.2372,0.325726,4.04763,0.539616,20.7226
23,1,2.5,0.252221,10.4884,24.9926,24.9906,19.5854,0.526149,21.7573,0.490028,19.3227
24,1,2.5,0.369926,2.3276,20.1489,12.7021,20.9192,0.283791,3.29898,0.484454,21.272
25,1,2.5,1.98751,1.45987,24.9927,24.991,17.1347,0.3593,24.9751,1.63136,19.9384
26,1,2.5,0.250314,2.41214,19.1926,24.9554,20.1603,0.338283,8.12941,1.34168,7.39437
27,1,2.5,0.250358,0.466365,15.921,24.9904,16.1683,0.953187,3.88568,0.480763,14.3613
28,1,2.5,0.369301,6.17298,23.9212,24.0805,21.954,0.276604,5.66128,0.656032,8.80795
29,1,2.5,0.51806,4.3703,24.9965,24.9951,25,0.288441,7.76922,0.430884,22.5056
30,1,2.5,0.622418,14.2897,25,25,19.4108,0.414584,24.994,0.398335,10.0455
34,1,2.5,1.21136,18.2985,24.977,24.9656,19.4181,0.330166,8.02302,1.94366,7.65916
36,1,2.5,0.284183,12.7737,25,25,10.3987,0.829871,14.0119,0.395366,17.4607
37,1,2.5,0.277984,8.7447,24.9915,24.9895,20.7287,0.327699,7.53869,0.693961,21.1338
38,1,2.5,0.299076,0.91696,5.34476,24.486,18.1854,0.443878,1.95905,0.260936,20.2303
39,1,2.5,1.04964,6.99341,24.9849,24.9834,14.4265,0.667546,5.61356,4.01234,18.8562
41,1,2.5,0.890334,25,24.9947,24.9918,6.02052,1.43588,9.79843,4.66754,18.5354
42,1,2.5,0.430489,3.36565,24.991,24.9895,13.1568,0.323612,9.72418,1.57201,20.8248
44,1,2.5,0.2504,3.01487,24.9968,24.9952,4.36755,0.487167,10.3459,1.12261,3.72179
45,1,2.5,1.08093,6.62017,25,24.9988,25,0.320308,13.4539,1.49003,13.048
46,1,2.5,0.376262,1.14218,21.5925,24.9763,4.2552,0.277692,1.14184,0.430577,22.4691
47,1,2.5,0.250614,12.779,24.9978,24.9949,8.44788,1.25033,18.2637,0.836726,6.07472
48,1,2.5,0.250411,3.36155,25,25,3.6142,3.89933,24.9949,2.77909,3.06643
