real_name,h01_01,h01_02,h01_03,h01_04,h01_05,h01_06,h01_07,h01_08,h01_09,h01_10,h02_01,h02_02,h02_03,h02_04,h02_05,h02_06,h02_07,h02_08,h02_09,h02_10
1,1,2.075,3.064,3.087,3.107,3.159,3.921,4.717,4.85,4.92,1,3.15,5.127,5.174,5.214,5.317,6.843,8.434,8.7,8.84
3,1,1.35,1.894,2.266,2.384,2.437,3.425,4.525,4.949,5.26,1,1.7,2.789,3.532,3.769,3.874,5.85,8.051,8.898,9.521
5,1,1.853,2.616,2.636,2.656,2.679,2.996,3.405,3.601,3.717,1,2.706,4.232,4.272,4.312,4.358,4.992,5.809,6.201,6.434
6,1,1.381,1.782,1.926,1.972,2.002,3.011,4.084,4.277,4.407,1,1.763,2.564,2.853,2.944,3.003,5.022,7.168,7.554,7.814
7,1,1.291,1.624,1.786,1.815,1.84,2.222,2.628,3.256,3.885,1,1.583,2.249,2.571,2.631,2.68,3.444,4.257,5.512,6.771
8,1,1.538,2.037,2.107,2.127,2.148,2.413,2.689,3.192,3.69,1,2.077,3.074,3.214,3.254,3.297,3.825,4.378,5.385,6.381
9,1,1.681,2.313,2.373,2.393,2.416,3.121,3.824,4.006,4.189,1,2.362,3.625,3.747,3.787,3.833,5.242,6.649,7.013,7.378
10,1,1.945,3.002,3.233,3.277,3.313,4.101,4.904,5.202,5.546,1,2.89,5.003,5.466,5.554,5.626,7.201,8.808,9.404,10.091
11,1,1.774,2.536,2.636,2.659,2.701,3.502,4.301,4.896,5.48,1,2.547,4.072,4.273,4.318,4.402,6.003,7.602,8.792,9.959
12,1,2.1,3.257,3.424,3.444,3.474,3.775,4.065,4.538,5.093,1,3.2,5.514,5.849,5.889,5.948,6.549,7.131,8.075,9.185
13,1,1.735,2.439,2.52,2.541,2.567,3.188,3.863,3.989,4.061,1,2.469,3.878,4.039,4.083,4.134,5.377,6.725,6.979,7.122
14,1,1.759,2.553,2.699,2.739,2.778,3.061,3.392,3.803,4.166,1,2.517,4.106,4.399,4.478,4.556,5.121,5.784,6.607,7.332
15,1,1.333,1.58,1.625,1.667,1.692,2.506,3.672,4.544,5.066,1,1.666,2.161,2.249,2.334,2.383,4.013,6.344,8.088,9.132
16,1,1.425,1.767,1.795,1.815,1.839,2.569,3.453,3.772,3.95,1,1.85,2.535,2.589,2.629,2.678,4.139,5.907,6.544,6.899
18,1,2.1,3.191,3.305,3.338,3.362,3.496,3.686,3.839,3.935,1,3.2,5.382,5.611,5.677,5.725,5.991,6.371,6.678,6.871
19,1,1.748,2.417,2.447,2.467,2.488,2.652,2.824,2.902,2.971,1,2.496,3.833,3.894,3.934,3.977,4.304,4.648,4.803,4.942
20,1,2.1,3.125,3.161,3.181,3.203,3.312,3.419,3.673,3.951,1,3.2,5.25,5.321,5.361,5.406,5.624,5.838,6.346,6.902
21,1,2.1,3.189,3.288,3.308,3.335,3.687,4.042,4.316,4.583,1,3.199,5.377,5.576,5.616,5.67,6.373,7.084,7.632,8.165
22,1,1.222,1.385,1.438,1.463,1.488,2.268,3.096,3.622,4.097,1,1.445,1.77,1.877,1.925,1.976,3.536,5.193,6.243,7.195
23,1,2.094,3.111,3.145,3.165,3.188,3.675,4.161,4.683,5.207,1,3.187,5.222,5.29,5.33,5.375,6.35,7.322,8.366,9.413
24,1,1.777,2.561,2.681,2.713,2.745,3.637,4.593,5.185,5.713,1,2.554,4.123,4.363,4.427,4.49,6.274,8.186,9.37,10.426
25,1,1.226,1.524,1.705,1.725,1.749,2.459,3.164,3.328,3.494,1,1.452,2.047,2.41,2.45,2.499,3.918,5.329,5.655,5.987
26,1,2.1,3.203,3.32,3.343,3.366,4.117,4.886,5.103,5.323,1,3.2,5.407,5.64,5.686,5.731,7.233,8.772,9.206,9.647
