real_name,stage,k_01,k_02,k_03,k_04,k_05,k_06,k_07,k_08,k_09,k_10
1,1,2.5,0.25,9.17018,16.6006,25,2.47244,0.687358,1.99226,1.27728,16.9963
2,1,2.5,1.42462,23.6899,25,25,25,0.842948,4.56787,0.25,11.0656
3,1,2.5,0.8195,1.82526,6.13993,3.80269,25,0.25,2.29879,0.474709,25
4,1,2.5,0.25,5.80424,13.2932,25,13.0558,0.644404,2.74962,0.671346,16.8205
5,1,2.5,0.370453,25,25,25,25,0.804052,1.10895,0.823091,11.8521
6,1,2.5,0.583058,3.16591,7.52685,5.57905,25,0.25,2.91125,1.01992,25
7,1,2.5,0.309725,1.26983,9.83146,7.80524,10.2326,3.70505,4.54796,0.25,4.54429
8,1,2.5,0.572138,9.67494,25,25,25,2.03118,5.70595,0.269794,16.2028
10,1,2.5,0.25,0.737966,8.82326,1.98482,11.2444,1.3239,9.01622,0.336072,1.9523
11,1,2.5,0.513692,11.1074,25,8.94897,10.7489,0.358037,6.24034,0.2525,16.2134
12,1,2.5,0.2725,3.89355,25,25,11.4229,0.821442,17.4281,0.25,3.40248
13,1,2.5,0.589778,21.1901,25,8.65129,25,0.547229,2.34937,1.84899,25
14,1,2.5,0.355983,2.44341,9.32891,1.48952,24.7655,3.20912,3.06953,0.349571,25
15,1,2.5,0.438516,10.6462,17.5401,14.5631,16.1983,0.391659,0.735285,0.25,17.0626
16,1,2.5,1.01749,25,25,19.9498,25,0.27092,0.741366,0.703251,11.1594
17,1,2.5,0.947903,10.82,25,25,4.95061,0.258181,5.49463,0.417571,19.2694
18,1,2.5,0.25,1.21141,3.67167,25,9.51774,11.7955,2.67279,0.913192,13.6577
19,1,2.5,0.25,17.5204,22.0446,12.2613,18.7954,3.50338,10.1268,1.47459,21.4586
20,1,2.5,0.25,2.61058,9.56521,25,8.61629,8.36499,25,0.255457,5.1841
21,1,2.5,0.387857,7.57163,25,25,16.7597,1.20266,6.59247,0.357057,24.074
22,1,2.5,1.86335,25,22.2513,7.00751,25,0.565355,3.39445,0.262051,23.0295
23,1,2.5,0.342514,24.8249,25,25,22.1049,0.869521,13.1017,0.25,24.4465
24,1,2.5,0.25,2.24779,14.5208,3.5719,15.7249,1.1432,2.93937,0.25,18.6934
25,1,2.5,0.396082,1.68128,10.8972,25,10.5844,0.806589,25,0.476255,14.8032
26,1,2.5,0.261912,4.41019,17.5261,25,19.0822,0.25,6.86375,0.458403,7.40028
27,1,2.5,0.269829,0.93826,6.2522,25,17.4754,1.56109,2.01093,0.25,17.7874
28,1,2.5,0.371749,10.9378,25,19.0677,22.7371,0.25,4.30454,0.25,8.65062
29,1,2.5,0.587445,15.6585,25,17.7754,25,0.282186,5.3745,0.278823,25
30,1,2.5,0.457996,17.2155,21.9305,25,18.9564,0.753515,25,0.25,10.0529
31,1,2.5,0.300843,2.85872,8.22436,25,6.82689,0.918683,8.00395,0.842357,21.7577
32,1,2.5,1.14781,14.6113,25,7.15322,25,0.25,2.11782,0.258911,25
33,1,2.5,0.25,1.61912,8.10786,25,4.52843,1.14019,7.05149,0.295806,9.25016
34,1,2.5,0.649369,23.9319,25,17.0082,20.4025,0.271622,6.80761,0.643172,7.36318
35,1,2.5,1.79087,25,25,25,13.299,0.25,1.24258,3.63051,21.2797
37,1,2.5,0.25,8.45814,15.8869,19.4663,14.5946,0.591824,8.23189,0.25,17.0629
38,1,2.5,0.315316,1.91182,1.93451,5.87915,19.5043,1.13992,1.20096,0.252337,23.1822
39,1,2.5,0.25,5.60578,13.7194,5.31372,9.4745,2.88829,3.8676,2.04083,16.7317
40,1,2.5,0.25,3.03987,9.89648,22.9961,7.49132,0.711003,10.2993,0.25,14.5548
41,1,2.5,1.38938,25,25,25,6.5204,1.60986,4.19539,2.1984,25
42,1,2.5,0.591442,14.2094,25,17.5683,17.2637,0.292743,6.47167,0.630152,25
43,1,2.5,0.759044,25,25,17.6866,5.11436,0.341512,2.92089,0.272382,11.4263
44,1,2.5,0.25,8.17371,25,25,3.59615,0.341269,7.26668,0.320326,3.70702
45,1,2.5,0.948131,20.3688,25,25,25,0.25,8.38357,0.564924,15.5454
46,1,2.5,0.395859,1.56679,10.6879,12.3607,3.39527,0.25182,0.628604,0.261257,25
47,1,2.5,0.360406,22.9976,25,25,6.9192,1.74716,8.1801,0.25741,6.77686
48,1,2.5,0.274677,8.73076,25,25,2.49711,3.34401,25,1.16297,4.38129
