real_name,h01_01,h01_02,h01_03,h01_04,h01_05,h01_06,h01_07,h01_08,h01_09,h01_10,h02_01,h02_02,h02_03,h02_04,h02_05,h02_06,h02_07,h02_08,h02_09,h02_10
1,1,2.1,3.127,3.17,3.195,3.306,3.771,4.26,4.581,4.791,1,3.2,5.255,5.339,5.389,5.612,6.541,7.52,8.162,8.583
2,1,1.621,2.169,2.21,2.235,2.261,2.458,2.682,3.725,4.756,1,2.242,3.337,3.42,3.469,3.522,3.916,4.363,6.45,8.511
3,1,1.792,2.817,3.209,3.333,3.412,4.073,4.822,5.541,6.173,1,2.585,4.633,5.418,5.667,5.823,7.147,8.643,10.083,11.346
4,1,2.1,3.143,3.205,3.234,3.263,3.67,4.149,4.612,4.999,1,3.2,5.286,5.41,5.468,5.526,6.34,7.298,8.224,8.999
6,1,2.1,3.398,3.756,3.854,3.91,4.443,5.033,5.422,5.753,1,3.2,5.796,6.512,6.708,6.82,7.886,9.065,9.845,10.505
7,1,1.907,2.911,3.134,3.191,3.247,3.339,3.462,4.517,5.572,1,2.814,4.822,5.267,5.382,5.495,5.679,5.924,8.034,10.144
8,1,2.1,3.178,3.272,3.298,3.325,3.412,3.518,4.555,5.576,1,3.2,5.356,5.545,5.597,5.65,5.824,6.037,8.11,10.153
10,1,2.1,3.439,3.806,3.96,4.108,4.319,4.536,5.308,6.18,1,3.2,5.878,6.612,6.92,7.217,7.639,8.072,9.615,11.359
11,1,2.1,3.306,3.538,3.585,3.667,3.958,4.219,5.25,6.277,1,3.2,5.612,6.076,6.17,6.333,6.915,7.438,9.5,11.555
12,1,2.1,3.334,3.585,3.612,3.664,3.86,4.026,5.037,6.146,1,3.2,5.668,6.17,6.224,6.328,6.721,7.052,9.074,11.292
13,1,2.1,3.24,3.41,3.46,3.51,3.672,3.883,4.18,4.418,1,3.2,5.481,5.82,5.92,6.02,6.343,6.765,7.36,7.835
14,1,2.1,3.317,3.57,3.755,3.916,3.984,4.111,5.014,5.855,1,3.2,5.633,6.141,6.509,6.832,6.967,7.221,9.027,10.711
15,1,1.67,2.264,2.301,2.333,2.365,3.019,3.998,5.338,6.352,1,2.34,3.527,3.603,3.666,3.731,5.038,6.995,9.675,11.704
16,1,2.001,2.931,2.976,3.002,3.03,3.561,4.327,5.041,5.534,1,3.001,4.862,4.953,5.004,5.06,6.122,7.654,9.083,10.067
17,1,2.1,3.351,3.63,3.668,3.828,4.265,4.585,5.587,6.582,1,3.2,5.702,6.259,6.335,6.655,7.531,8.17,10.174,12.164
18,1,2.1,3.306,3.581,3.659,3.695,3.743,3.857,4.225,4.517,1,3.2,5.613,6.162,6.318,6.39,6.485,6.715,7.449,8.033
19,1,2.1,3.114,3.14,3.172,3.205,3.29,3.386,3.58,3.761,1,3.2,5.229,5.28,5.343,5.411,5.58,5.772,6.16,6.523
20,1,2.1,3.196,3.318,3.354,3.393,3.452,3.492,4.48,5.507,1,3.2,5.392,5.635,5.708,5.786,5.903,5.983,7.96,10.014
21,1,2.1,3.288,3.498,3.529,3.572,3.691,3.806,4.83,5.842,1,3.2,5.577,5.996,6.058,6.144,6.381,6.612,8.66,10.683
22,1,1.883,2.727,2.813,2.867,2.917,3.117,3.356,4.415,5.432,1,2.766,4.455,4.627,4.733,4.834,5.235,5.711,7.83,9.865
23,1,2.1,3.15,3.219,3.249,3.282,3.433,3.577,4.592,5.608,1,3.2,5.299,5.438,5.498,5.564,5.867,6.154,8.184,10.216
24,1,2.1,3.211,3.34,3.427,3.513,3.747,4.051,5.136,6.149,1,3.2,5.422,5.679,5.854,6.026,6.495,7.102,9.272,11.299
25,1,1.731,2.511,2.683,2.716,2.749,3.083,3.403,3.938,4.48,1,2.462,4.022,4.365,4.431,4.499,5.166,5.806,6.875,7.959
26,1,2.1,3.362,3.652,3.689,3.725,4.211,4.698,5.471,6.266,1,3.2,5.724,6.303,6.378,6.451,7.421,8.397,9.942,11.533
27,1,2.1,4.1,5.186,5.282,5.323,5.42,5.584,6.681,7.704,1,3.2,7.2,9.372,9.563,9.646,9.84,10.167,12.363,14.408
28,1,2.1,3.158,3.23,3.255,3.283,3.916,4.58,5.629,6.667,1,3.2,5.316,5.461,5.51,5.565,6.832,8.16,10.257,12.334
29,1,2.1,3.154,3.225,3.254,3.283,3.779,4.298,5.338,6.351,1,3.2,5.308,5.451,5.508,5.565,6.558,7.596,9.675,11.703
30,1,1.646,2.206,2.232,2.254,2.277,2.622,2.963,3.973,4.998,1,2.292,3.412,3.464,3.507,3.553,4.243,4.927,6.947,8.997
31,1,2.1,3.72,4.41,4.491,4.589,4.778,4.903,5.365,5.824,1,3.2,6.439,7.82,7.982,8.178,8.556,8.806,9.731,10.647
32,1,1.719,2.386,2.451,2.497,2.542,3.146,3.838,4.941,5.954,1,2.437,3.773,3.903,3.994,4.085,5.293,6.676,8.882,10.908
33,1,1.327,1.58,1.619,1.642,1.682,2.226,2.778,3.446,4.095,1,1.655,2.16,2.237,2.284,2.364,3.453,4.556,5.891,7.191
34,1,1.485,1.88,1.901,1.926,1.953,2.885,3.842,4.268,4.69,1,1.97,2.761,2.802,2.851,2.905,4.77,6.685,7.535,8.381
35,1,1.929,2.808,2.877,2.907,2.959,3.432,4.007,4.249,4.367,1,2.858,4.616,4.755,4.814,4.919,5.864,7.013,7.499,7.733
37,1,2.1,3.13,3.175,3.203,3.233,3.673,4.126,5.156,6.171,1,3.2,5.259,5.35,5.407,5.467,6.346,7.251,9.312,11.342
38,1,2.1,3.484,4.073,4.315,4.371,4.519,4.827,6.008,7.022,1,3.2,5.967,7.147,7.63,7.742,8.038,8.654,11.015,13.044
39,1,2.1,3.145,3.207,3.273,3.346,3.459,3.61,3.797,3.935,1,3.2,5.289,5.415,5.545,5.692,5.918,6.221,6.595,6.87
40,1,2.1,3.182,3.29,3.326,3.37,3.755,4.131,5.155,6.172,1,3.2,5.364,5.579,5.652,5.74,6.51,7.262,9.311,11.345
42,1,2.1,3.221,3.364,3.397,3.442,3.798,4.15,4.762,5.362,1,3.2,5.441,5.728,5.794,5.883,6.596,7.299,8.524,9.724
43,1,2.1,3.216,3.361,3.4,3.554,3.911,4.186,5.248,6.291,1,3.2,5.432,5.721,5.799,6.108,6.822,7.372,9.496,11.581
44,1,2.1,3.251,3.422,3.452,3.613,4.085,4.43,5.455,6.563,1,3.2,5.503,5.845,5.904,6.227,7.169,7.859,9.91,12.127
45,1,1.616,2.153,2.187,2.209,2.233,2.99,3.758,4.289,4.815,1,2.232,3.306,3.373,3.418,3.465,4.979,6.516,7.579,8.629
46,1,2.1,4.072,5.095,5.162,5.339,5.902,6.622,7.94,8.957,1,3.2,7.143,9.19,9.324,9.678,10.803,12.243,14.881,16.913
47,1,2.1,3.142,3.203,3.23,3.312,3.453,3.547,4.57,5.626,1,3.2,5.285,5.405,5.46,5.623,5.906,6.093,8.14,10.251
48,1,2.1,3.189,3.294,3.319,3.519,3.749,3.8,4.092,4.459,1,3.2,5.378,5.587,5.638,6.038,6.498,6.599,7.185,7.917
