real_name,stage,k_01,k_02,k_03,k_04,k_05,k_06,k_07,k_08,k_09,k_10
1,1,2.5,0.275397,14.0893,25,25,4.70825,0.334463,2.73642,4.54023,20.292
3,1,2.5,1.07296,0.93563,3.39132,6.06751,25,0.25,2.04265,0.841313,25
4,1,2.5,0.703141,3.2443,25,25,21.3231,0.314662,3.1362,1.68157,21.6797
5,1,2.5,0.331925,25,25,25,18.6505,0.823854,2.37826,2.74437,9.84582
6,1,2.5,0.889084,2.10635,9.71115,12.73,25,0.25,3.42076,2.0844,24.9467
7,1,2.5,4.47433,4.21516,14.1945,25,24.2267,0.427064,4.41312,0.554819,8.47405
8,1,2.5,0.57133,4.14923,25,25,22.1378,0.987787,10.6107,0.521216,13.8755
9,1,2.5,0.429259,4.92993,25,25,19.3014,0.361838,20.9073,1.46865,20.0512
10,1,2.5,0.295456,1.17899,12.7781,10.3154,20.9737,0.322516,9.11052,0.923288,3.42273
11,1,2.5,0.331699,3.298,25,25,9.29917,0.340858,9.81599,0.422757,13.8473
12,1,2.5,0.25,1.88427,25,25,12.0089,0.650677,25,0.662976,3.33198
13,1,2.5,0.350385,3.92154,25,25,18.4509,0.432342,4.15804,4.06269,19.7174
14,1,2.5,0.379958,1.8421,24.3028,8.58602,24.3808,0.918159,4.22101,0.710092,23.6794
15,1,2.5,1.06063,16.9082,8.38641,19.4615,21.3907,0.312939,0.691509,0.489093,20.3242
16,1,2.5,0.768173,14.5059,25,25,17.4985,0.349184,1.49177,1.65648,9.2719
17,1,2.5,0.500423,1.05277,25,25,2.97997,0.388707,10.2069,1.04646,14.3569
18,1,2.5,0.25,2.74282,10.8234,25,18.06,2.09312,3.53666,3.01294,19.05
19,1,2.5,0.385675,12.2375,25,25,21.9862,1.64518,12.3596,4.34845,21.229
20,1,2.5,0.25,8.1743,25,25,16.135,2.19635,25,1.15837,8.09293
21,1,2.5,0.25,3.08584,25,25,14.626,0.68634,10.6297,1.04218,19.8401
22,1,2.5,1.41571,6.54724,23.3793,25,20.6962,0.377944,5.29162,0.484991,18.8654
23,1,2.5,0.25,10.9508,25,25,19.7874,0.500915,20.5325,0.50237,19.9715
24,1,2.5,0.516712,2.93183,20.7388,12.6303,23.0352,0.250539,2.98916,0.521034,23.2325
25,1,2.5,1.98255,1.45777,25,25,17.1256,0.359692,25,1.63031,19.9225
26,1,2.5,0.25,2.54583,19.3639,25,20.5939,0.329076,7.99627,1.36303,7.54588
27,1,2.5,0.25,0.472303,15.9535,25,16.2487,0.946962,3.87024,0.482532,14.4306
28,1,2.5,0.339213,6.29235,25,25,22.7041,0.28619,6.03661,0.639753,8.62326
29,1,2.5,0.575371,3.83077,25,25,23.3865,0.275752,6.7969,0.448499,23.0549
30,1,2.5,0.621451,14.2594,25,25,19.3938,0.414815,25,0.398131,10.0408
31,1,2.5,0.25,1.01299,14.2617,25,6.92644,0.577316,12.8674,2.08579,17.1984
32,1,2.5,1.69446,4.66946,25,13.3696,25,0.25,2.40584,0.595213,24.2191
33,1,2.5,0.511168,2.86332,25,25,9.83765,0.339179,5.8056,1.31603,17.4973
34,1,2.5,1.19054,18.1089,25,25,19.3436,0.332652,8.06238,1.93561,7.61739
35,1,2.5,1.67107,16.0684,25,25,8.82316,0.35221,2.15475,7.95023,16.9663
36,1,2.5,0.283973,12.7507,25,25,10.3908,0.830022,14.0034,0.39522,17.4568
37,1,2.5,0.276754,8.72207,25,25,20.7091,0.328338,7.55043,0.693207,21.1041
38,1,2.5,0.25,0.841062,5.3948,25,17.771,0.474957,2.10464,0.25,19.3098
39,1,2.5,2.44532,10.8565,25,25,16.4601,0.482295,4.03043,4.88471,23.6343
40,1,2.5,0.875721,2.61559,8.12051,25,11.0499,0.310084,8.0926,0.67121,22.0896
41,1,2.5,1.09835,25,25,25,4.67745,1.31118,7.45529,5.06125,19.4584
42,1,2.5,0.426573,3.23359,25,25,12.7951,0.324485,9.58802,1.57332,20.7577
44,1,2.5,0.25,3.01367,25,25,4.36683,0.48722,10.3454,1.12241,3.72139
45,1,2.5,1.64284,5.85855,25,25,23.7298,0.270236,9.63809,1.69006,14.4956
46,1,2.5,0.375896,1.14358,21.6195,25,4.25772,0.277855,1.14339,0.430522,22.4615
47,1,2.5,0.25,9.82902,25,25,6.94441,1.24067,15.9982,0.855943,6.04611
48,1,2.5,0.25,3.13887,25,25,2.7448,2.62971,25,3.63589,3.95298
