real_name,h01_01,h01_02,h01_03,h01_04,h01_05,h01_06,h01_07,h01_08,h01_09,h01_10,h02_01,h02_02,h02_03,h02_04,h02_05,h02_06,h02_07,h02_08,h02_09,h02_10
1,1,2.075,3.064,3.087,3.107,3.159,3.922,4.718,4.851,4.921,1,3.151,5.128,5.175,5.215,5.319,6.844,8.435,8.701,8.841
3,1,1.354,1.902,2.273,2.392,2.444,3.424,4.516,4.939,5.251,1,1.708,2.805,3.547,3.783,3.888,5.849,8.031,8.878,9.502
4,1,1.371,1.686,1.741,1.761,1.781,2.666,3.614,3.831,3.986,1,1.742,2.372,2.481,2.521,2.561,4.332,6.227,6.661,6.971
5,1,1.699,2.308,2.328,2.348,2.368,2.702,3.098,3.264,3.38,1,2.398,3.617,3.657,3.697,3.737,4.405,5.197,5.527,5.761
6,1,1.758,2.758,3.137,3.198,3.24,3.984,4.781,4.99,5.142,1,2.517,4.517,5.274,5.396,5.479,6.968,8.562,8.98,9.284
7,1,1.292,1.625,1.787,1.816,1.841,2.223,2.629,3.257,3.886,1,1.583,2.25,2.573,2.633,2.682,3.446,4.258,5.513,6.773
8,1,2.1,3.205,3.319,3.339,3.363,3.547,3.734,4.353,4.98,1,3.2,5.409,5.639,5.679,5.725,6.094,6.468,7.706,8.96
9,1,1.252,1.42,1.445,1.465,1.485,2.495,3.511,3.657,3.797,1,1.505,1.84,1.891,1.931,1.971,3.991,6.023,6.315,6.594
10,1,1.443,1.912,2.057,2.103,2.139,3.149,4.187,4.447,4.724,1,1.886,2.824,3.115,3.206,3.278,5.298,7.375,7.893,8.448
11,1,1.774,2.537,2.637,2.66,2.702,3.502,4.301,4.896,5.48,1,2.548,4.073,4.274,4.319,4.404,6.004,7.602,8.793,9.96
12,1,2.1,3.257,3.425,3.445,3.475,3.775,4.066,4.538,5.093,1,3.2,5.515,5.85,5.89,5.949,6.55,7.132,8.077,9.187
13,1,1.735,2.44,2.52,2.542,2.568,3.189,3.863,3.99,4.061,1,2.47,3.879,4.04,4.084,4.136,5.378,6.726,6.979,7.122
14,1,2.1,3.422,3.757,3.805,3.856,4.081,4.347,4.802,5.213,1,3.2,5.843,6.514,6.61,6.712,7.162,7.694,8.604,9.427
15,1,1.186,1.281,1.315,1.351,1.373,2.383,3.829,4.692,5.12,1,1.371,1.563,1.631,1.702,1.746,3.766,6.658,8.385,9.24
16,1,1.278,1.465,1.485,1.505,1.525,2.437,3.521,3.838,3.996,1,1.555,1.93,1.97,2.01,2.051,3.874,6.043,6.677,6.991
18,1,2.1,3.273,3.471,3.505,3.532,3.631,3.763,3.917,4.037,1,3.2,5.547,5.942,6.009,6.065,6.263,6.526,6.833,7.074
19,1,1.687,2.288,2.313,2.333,2.353,2.52,2.695,2.77,2.839,1,2.374,3.577,3.626,3.666,3.706,4.039,4.389,4.541,4.679
20,1,2.1,3.126,3.161,3.181,3.204,3.313,3.42,3.674,3.952,1,3.2,5.251,5.322,5.362,5.407,5.626,5.84,6.347,6.903
21,1,2.1,3.189,3.288,3.308,3.336,3.687,4.042,4.317,4.583,1,3.2,5.378,5.577,5.617,5.672,6.374,7.085,7.634,8.166
22,1,1.222,1.385,1.438,1.463,1.488,2.268,3.096,3.622,4.097,1,1.445,1.77,1.876,1.925,1.976,3.536,5.193,6.243,7.194
23,1,2.1,3.125,3.159,3.179,3.202,3.69,4.176,4.7,5.226,1,3.2,5.249,5.319,5.359,5.404,6.38,7.352,8.401,9.452
24,1,1.732,2.47,2.588,2.621,2.653,3.57,4.553,5.139,5.658,1,2.464,3.94,4.177,4.242,4.306,6.14,8.107,9.278,10.316
25,1,1.213,1.454,1.592,1.612,1.634,2.369,3.101,3.263,3.427,1,1.425,1.907,2.184,2.224,2.268,3.737,5.202,5.526,5.855
26,1,2.1,3.312,3.539,3.564,3.592,4.144,4.704,4.95,5.214,1,3.2,5.624,6.077,6.128,6.184,7.288,8.408,8.9,9.428
27,1,2.1,4.1,5.12,5.15,5.187,5.367,5.566,6.304,7.023,1,3.2,7.2,9.239,9.3,9.374,9.734,10.132,11.608,13.045
28,1,1.778,2.497,2.548,2.569,2.591,3.505,4.452,4.878,5.287,1,2.556,3.994,4.096,4.138,4.181,6.01,7.904,8.755,9.574
29,1,1.583,2.124,2.191,2.211,2.231,3.107,4.006,4.618,5.21,1,2.167,3.248,3.382,3.422,3.462,5.215,7.011,8.236,9.42
30,1,1.406,1.723,1.743,1.763,1.783,2.453,3.124,3.752,4.393,1,1.813,2.445,2.485,2.525,2.565,3.907,5.248,6.505,7.787
31,1,2.1,3.625,4.168,4.197,4.256,4.585,4.88,5.046,5.219,1,3.2,6.25,7.337,7.394,7.511,8.171,8.76,9.093,9.438
32,1,1.239,1.437,1.508,1.539,1.57,2.581,3.695,4.219,4.638,1,1.477,1.874,2.016,2.078,2.14,4.162,6.39,7.437,8.276
33,1,1.496,1.942,2.002,2.022,2.049,2.858,3.687,3.912,4.113,1,1.993,2.884,3.003,3.043,3.099,4.716,6.373,6.824,7.226
