var_name,0,1,2,3,4,5,6,7,8,base
stage,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
k_01,2.55032129219,3.00152740845,2.01938040815,1.22249887865,0.454310488902,11.7296185902,1.32267007162,4.29478388133,0.550493879786,2.5
k_02,2.55032129219,3.00152740845,2.01938040815,1.22249887865,0.454310488902,11.7296185902,1.32267007162,4.29478388133,0.550493879786,2.5
k_03,2.55032129219,3.00152740845,2.01938040815,1.22249887865,0.454310488902,11.7296185902,1.32267007162,4.29478388133,0.550493879786,2.5
k_04,2.50000012345,2.50000012345,2.50000012345,2.50000012345,2.50000012345,2.50000012345,2.50000012345,2.50000012345,2.50000012345,2.50000012345
k_05,2.24799111068,5.94468474881,0.60497930733,2.20774747353,0.99546843638,5.27594296515,4.10528752708,7.87737574643,1.18882929123,2.5
k_06,0.257106498063,1.07913145528,11.6698417816,7.80562514319,6.60608908669,2.2980401872,24.4773966581,0.309017163154,5.21858732954,2.5
k_07,1.222078434,7.29488203674,4.78363032414,2.00228177221,23.1476513526,4.40162804077,1.70793155854,5.77997608285,0.798695878414,2.5
k_08,2.16931609495,3.07332711986,6.55114289909,0.927844743584,0.451996588034,8.59025801402,25.0,1.11450236935,1.77343880053,2.5
k_09,4.58360409624,2.85527039352,1.50251114463,0.956654566972,1.87677921542,3.48023310244,17.1561958678,1.4373783333,4.06018570773,2.5
k_10,2.90553043645,0.428547145042,12.173310083,3.44885851321,1.72153262391,1.75548162228,15.958246947,0.477151575603,9.0378869129,2.5
