real_name,stage,k_01,k_02,k_03,k_04,k_05,k_06,k_07,k_08,k_09,k_10
1,1,2.5,0.256277,18.9118,25,25,5.96264,0.346974,3.32241,4.34176,20.0302
3,1,2.5,1.00066,0.848154,3.26213,5.93725,23.6515,0.255817,2.03299,0.830749,24.5472
4,1,2.5,0.715566,3.37941,25,25,21.7271,0.313196,3.16592,1.69294,21.7862
5,1,2.5,0.331997,25,25,25,18.6651,0.823902,2.37994,2.7449,9.84622
6,1,2.5,0.88803,2.1032,9.70633,12.7266,24.9839,0.250111,3.42084,2.08369,24.9378
7,1,2.5,1.30648,1.7639,12.7451,24.8938,16.8191,0.681224,6.36528,0.424912,6.07301
8,1,2.5,0.570485,4.14644,25,25,22.1331,0.988458,10.6177,0.521057,13.869
9,1,2.5,0.430088,4.93816,25,25,19.3142,0.361548,20.898,1.46935,20.0632
10,1,2.5,0.295851,1.17984,12.7773,10.3139,20.9788,0.322322,9.1056,0.923553,3.42417
11,1,2.5,0.370984,2.81911,21.6488,22.3917,8.06595,0.324912,8.45084,0.441848,14.1968
12,1,2.5,0.25,1.58813,25,25,12.7203,0.890112,25,0.540716,2.7022
13,1,2.5,0.393804,3.5914,22.6248,23.0779,16.8354,0.412256,3.69611,4.22707,20.2588
14,1,2.5,0.379585,1.83983,24.2928,8.58415,24.3679,0.918499,4.2211,0.709894,23.6723
15,1,2.5,1.07353,17.0876,8.40348,19.4733,21.4814,0.311375,0.68963,0.490553,20.4002
16,1,2.5,0.768834,14.5191,25,25,17.5051,0.349065,1.4916,1.65686,9.27434
18,1,2.5,0.25,2.74037,10.8234,25,18.0542,2.09447,3.53853,3.01197,19.0413
19,1,2.5,0.385717,12.2433,25,25,21.9912,1.64517,12.3617,4.34873,21.2296
20,1,2.5,0.25,9.78029,25,25,20.1959,2.58516,25,1.02477,7.32904
21,1,2.5,0.250003,2.80163,25,25,14.3387,0.748838,11.7285,0.987873,18.684
22,1,2.5,2.04287,6.18829,19.6246,21.5351,18.2329,0.326137,4.05341,0.539286,20.7046
23,1,2.5,0.251549,10.4756,25,25,19.5775,0.526779,21.7808,0.489703,19.3061
24,1,2.5,0.369274,2.32642,20.1573,12.7073,20.9159,0.284023,3.302,0.484263,21.26
25,1,2.5,1.98282,1.45837,25,25,17.1289,0.359682,25,1.63041,19.9233
26,1,2.5,0.25,2.41132,19.1983,24.963,20.1584,0.338482,8.1351,1.34127,7.39137
27,1,2.5,0.25,0.466137,15.9252,24.9977,16.1659,0.953815,3.8885,0.480594,14.3547
28,1,2.5,0.368624,6.16807,23.9269,24.0874,21.9481,0.276832,5.66561,0.655741,8.8028
29,1,2.5,0.517226,4.36685,25,25,25,0.288649,7.77401,0.430709,22.4939
30,1,2.5,0.621654,14.2749,25,25,19.4037,0.414793,25,0.398194,10.0416
32,1,2.5,1.80201,4.18799,22.7382,12.4539,22.7234,0.25,2.18872,0.611018,24.5566
33,1,2.5,0.511296,2.86571,25,25,9.84151,0.339166,5.80716,1.31619,17.4984
34,1,2.5,1.19247,18.1398,25,25,19.3574,0.332437,8.06065,1.93644,7.62119
35,1,2.5,1.22201,15.6824,25,25,9.31601,0.398757,2.61022,7.3062,15.6458
36,1,2.5,0.283817,12.7575,25,25,10.394,0.830299,14.0126,0.395205,17.4535
37,1,2.5,0.277177,8.73331,25,25,20.7197,0.328128,7.54765,0.693466,21.1141
38,1,2.5,0.298349,0.916313,5.3478,24.4998,18.1814,0.444379,1.96154,0.260792,20.2145
39,1,2.5,1.04576,6.98345,25,25,14.4197,0.668671,5.62295,4.00883,18.8339
40,1,2.5,0.876569,2.61802,8.12226,25,11.0541,0.309962,8.09119,0.671376,22.0961
41,1,2.5,0.887631,25,25,25,6.01736,1.43781,9.80935,4.66387,18.5173
42,1,2.5,0.429403,3.36217,25,25,13.1524,0.323983,9.73499,1.57104,20.8079
44,1,2.5,0.25,3.01238,25,25,4.36637,0.487513,10.3522,1.12214,3.71987
45,1,2.5,1.07989,6.616,25,25,25,0.320441,13.4574,1.48963,13.0439
46,1,2.5,0.375397,1.14174,21.6083,24.9933,4.25479,0.277996,1.14346,0.430362,22.4524
47,1,2.5,0.25,12.7605,25,25,8.44372,1.25167,18.2777,0.836185,6.06996
48,1,2.5,0.25,3.35643,25,25,3.61225,3.90192,25,2.77771,3.06483
