iteration,num_reals,current_lambda,current_comp_mean_phi,current_comp_std_phi,lambda_scale_fac,lambda,comp_mean_phi,comp_std_phi
1,4,100,4.18178,5.19652,0.75,10,2.61928,2.58343
1,4,100,4.18178,5.19652,1,10,2.0799,1.62919
1,4,100,4.18178,5.19652,1.1,10,1.90794,1.33322
1,4,100,4.18178,5.19652,0.75,100,5.15463,7.28348
1,4,100,4.18178,5.19652,1,100,4.98356,6.96214
1,4,100,4.18178,5.19652,1.1,100,4.91709,6.83651
1,4,100,4.18178,5.19652,0.75,1000,5.64908,8.2211
1,4,100,4.18178,5.19652,1,1000,5.62949,8.18226
3,4,100,5.92003,7.43001,0.75,10,2.66398,2.2954
3,4,100,5.92003,7.43001,1,10,2.58854,2.07108
3,4,100,5.92003,7.43001,1.1,10,2.57523,2.00779
3,4,100,5.92003,7.43001,0.75,100,3.35709,3.76499
3,4,100,5.92003,7.43001,1,100,3.29592,3.64435
3,4,100,5.92003,7.43001,1.1,100,3.27234,3.59604
3,4,100,5.92003,7.43001,0.75,1000,3.54084,4.1298
3,4,100,5.92003,7.43001,1,1000,3.53403,4.11585
5,4,10,3.93262,3.67407,0.75,1,1.63244,2.50169
5,4,10,3.93262,3.67407,1,1,1.83603,2.72781
5,4,10,3.93262,3.67407,1.1,1,1.94333,2.82824
5,4,10,3.93262,3.67407,0.75,10,1.87937,2.22982
5,4,10,3.93262,3.67407,1,10,1.75578,2.20422
5,4,10,3.93262,3.67407,1.1,10,1.70628,2.19717
5,4,10,3.93262,3.67407,0.75,100,2.21213,2.34712
5,4,10,3.93262,3.67407,1,100,2.19728,2.34081
6,3,0.75,3.56348,3.37866,0.75,0.075,0.667175,0.224136
6,3,0.75,3.56348,3.37866,1,0.075,0.761232,0.272371
6,3,0.75,3.56348,3.37866,1.1,0.075,0.827871,0.35558
6,3,0.75,3.56348,3.37866,0.75,0.75,0.698769,0.372579
6,3,0.75,3.56348,3.37866,1,0.75,0.672237,0.146047
6,3,0.75,3.56348,3.37866,1.1,0.75,0.697854,0.127208
6,3,0.75,3.56348,3.37866,0.75,7.5,1.77086,1.31881
6,3,0.75,3.56348,3.37866,1,7.5,1.49527,1.14518
7,3,0.05625,2.72402,2.15851,0.75,0.005625,12.9476,8.56418
7,3,0.05625,2.72402,2.15851,1,0.005625,17.2384,4.88783
7,3,0.05625,2.72402,2.15851,1.1,0.005625,17.9135,4.77077
7,3,0.05625,2.72402,2.15851,0.75,0.05625,12.7974,8.65952
7,3,0.05625,2.72402,2.15851,1,0.05625,16.9003,5.06706
7,3,0.05625,2.72402,2.15851,1.1,0.05625,17.7062,4.80161
7,3,0.05625,2.72402,2.15851,0.75,0.5625,8.65341,5.83821
7,3,0.05625,2.72402,2.15851,1,0.5625,13.1398,8.41173
8,3,0.421875,2.69959,2.14257,0.75,0.0421875,1.41841,0.303069
8,3,0.421875,2.69959,2.14257,1,0.0421875,6.66998,4.97721
8,3,0.421875,2.69959,2.14257,1.1,0.0421875,7.43071,5.50961
8,3,0.421875,2.69959,2.14257,0.75,0.421875,0.901632,0.181422
8,3,0.421875,2.69959,2.14257,1,0.421875,2.28214,1.07488
8,3,0.421875,2.69959,2.14257,1.1,0.421875,3.96909,2.5967
8,3,0.421875,2.69959,2.14257,0.75,4.21875,0.651078,0.537034
8,3,0.421875,2.69959,2.14257,1,4.21875,0.597515,0.472927
9,3,3.16406,1.91111,1.56415,0.75,0.316406,12.0064,7.20593
9,3,3.16406,1.91111,1.56415,1,0.316406,18.1357,12.5703
9,3,3.16406,1.91111,1.56415,1.1,0.316406,18.5725,12.7842
9,3,3.16406,1.91111,1.56415,0.75,3.16406,4.53087,2.90615
9,3,3.16406,1.91111,1.56415,1,3.16406,5.61387,3.14369
9,3,3.16406,1.91111,1.56415,1.1,3.16406,6.18737,3.38282
9,3,3.16406,1.91111,1.56415,0.75,31.6406,2.05108,2.09884
9,3,3.16406,1.91111,1.56415,1,31.6406,2.4193,2.53292
11,4,10,3.40647,2.82101,0.75,1,3.75309,2.83888
11,4,10,3.40647,2.82101,1,1,3.7116,2.85857
11,4,10,3.40647,2.82101,1.1,1,3.83375,2.78574
11,4,10,3.40647,2.82101,0.75,10,4.6994,1.99664
11,4,10,3.40647,2.82101,1,10,4.6055,2.06898
11,4,10,3.40647,2.82101,1.1,10,4.57135,2.1017
11,4,10,3.40647,2.82101,0.75,100,4.78704,1.59308
11,4,10,3.40647,2.82101,1,100,4.78915,1.61678
12,4,0.75,3.30513,2.83617,0.75,0.075,5.87317,7.10024
12,4,0.75,3.30513,2.83617,1,0.075,8.1738,6.24563
12,4,0.75,3.30513,2.83617,1.1,0.075,9.60544,6.21773
12,4,0.75,3.30513,2.83617,0.75,0.75,4.35129,5.96429
12,4,0.75,3.30513,2.83617,1,0.75,5.4238,6.56396
12,4,0.75,3.30513,2.83617,1.1,0.75,6.14601,6.68212
12,4,0.75,3.30513,2.83617,0.75,7.5,3.44919,4.33851
12,4,0.75,3.30513,2.83617,1,7.5,3.49888,4.49644
13,3,5.625,3.268,2.82515,0.75,0.5625,2.92771,0.578722
13,3,5.625,3.268,2.82515,1,0.5625,2.87051,0.606015
13,3,5.625,3.268,2.82515,1.1,0.5625,2.85651,0.628576
13,3,5.625,3.268,2.82515,0.75,5.625,3.19984,0.705422
13,3,5.625,3.268,2.82515,1,5.625,3.15291,0.659876
13,3,5.625,3.268,2.82515,1.1,5.625,3.13554,0.646622
13,3,5.625,3.268,2.82515,0.75,56.25,3.35913,0.894679
13,3,5.625,3.268,2.82515,1,56.25,3.35004,0.883422
14,3,0.421875,2.85711,2.31786,0.75,0.0421875,2.12355,1.33614
