,h01_04,h01_06
0,1.1,1.5
1,1.1202020202020204,1.5202020202020203
2,1.1404040404040405,1.5404040404040404
3,1.1606060606060606,1.5606060606060606
4,1.180808080808081,1.5808080808080809
5,1.201010101010101,1.601010101010101
6,1.2212121212121212,1.621212121212121
7,1.2414141414141415,1.6414141414141414
8,1.2616161616161619,1.6616161616161618
9,1.281818181818182,1.6818181818181819
10,1.302020202020202,1.702020202020202
11,1.3222222222222224,1.7222222222222223
12,1.3424242424242425,1.7424242424242424
13,1.3626262626262626,1.7626262626262625
14,1.382828282828283,1.7828282828282829
15,1.403030303030303,1.803030303030303
16,1.4232323232323234,1.8232323232323233
17,1.4434343434343435,1.8434343434343434
18,1.4636363636363638,1.8636363636363638
19,1.483838383838384,1.8838383838383839
20,1.504040404040404,1.904040404040404
21,1.5242424242424244,1.9242424242424243
22,1.5444444444444445,1.9444444444444444
23,1.5646464646464648,1.9646464646464648
24,1.584848484848485,1.9848484848484849
25,1.6050505050505053,2.005050505050505
26,1.6252525252525254,2.025252525252525
27,1.6454545454545455,2.0454545454545454
28,1.6656565656565658,2.0656565656565657
29,1.685858585858586,2.0858585858585856
30,1.706060606060606,2.106060606060606
31,1.7262626262626264,2.1262626262626263
32,1.7464646464646467,2.1464646464646466
33,1.7666666666666668,2.166666666666667
34,1.786868686868687,2.186868686868687
35,1.8070707070707073,2.207070707070707
36,1.8272727272727274,2.2272727272727275
37,1.8474747474747475,2.2474747474747474
38,1.8676767676767678,2.2676767676767677
39,1.8878787878787882,2.287878787878788
40,1.9080808080808083,2.308080808080808
41,1.9282828282828284,2.3282828282828283
42,1.9484848484848487,2.3484848484848486
43,1.9686868686868688,2.3686868686868685
44,1.988888888888889,2.388888888888889
45,2.0090909090909093,2.409090909090909
46,2.0292929292929296,2.4292929292929295
47,2.0494949494949495,2.44949494949495
48,2.06969696969697,2.4696969696969697
49,2.08989898989899,2.48989898989899
50,2.11010101010101,2.5101010101010104
51,2.130303030303031,2.5303030303030303
52,2.1505050505050507,2.5505050505050506
53,2.1707070707070706,2.570707070707071
54,2.1909090909090914,2.590909090909091
55,2.2111111111111112,2.611111111111111
56,2.2313131313131316,2.6313131313131315
57,2.251515151515152,2.6515151515151514
58,2.271717171717172,2.6717171717171717
59,2.291919191919192,2.691919191919192
60,2.3121212121212125,2.712121212121212
61,2.3323232323232324,2.7323232323232327
62,2.3525252525252527,2.7525252525252526
63,2.372727272727273,2.772727272727273
64,2.392929292929293,2.7929292929292933
65,2.4131313131313132,2.813131313131313
66,2.4333333333333336,2.8333333333333335
67,2.4535353535353535,2.853535353535354
68,2.4737373737373742,2.8737373737373737
69,2.493939393939394,2.893939393939394
70,2.5141414141414145,2.9141414141414144
71,2.534343434343435,2.9343434343434343
72,2.5545454545454547,2.9545454545454546
73,2.574747474747475,2.974747474747475
74,2.5949494949494953,2.994949494949495
75,2.6151515151515152,3.0151515151515156
76,2.6353535353535356,3.0353535353535355
77,2.655555555555556,3.0555555555555554
78,2.675757575757576,3.075757575757576
79,2.695959595959596,3.095959595959596
80,2.7161616161616164,3.1161616161616164
81,2.7363636363636363,3.1363636363636367
82,2.756565656565657,3.1565656565656566
83,2.776767676767677,3.176767676767677
84,2.796969696969697,3.1969696969696972
85,2.8171717171717177,3.217171717171717
86,2.8373737373737375,3.2373737373737375
87,2.857575757575758,3.257575757575758
88,2.877777777777778,3.2777777777777777
89,2.897979797979798,3.2979797979797985
90,2.9181818181818184,3.3181818181818183
91,2.9383838383838388,3.3383838383838382
92,2.9585858585858587,3.358585858585859
93,2.978787878787879,3.378787878787879
94,2.9989898989898993,3.3989898989898992
95,3.019191919191919,3.4191919191919196
96,3.0393939393939395,3.4393939393939394
97,3.05959595959596,3.45959595959596
98,3.0797979797979798,3.47979797979798
99,3.1,3.5
