real_name,stage,k_01,k_02,k_03,k_04,k_05,k_06,k_07,k_08,k_09,k_10
1,1,2.5,0.256282,18.9036,25,25,5.96135,0.346955,3.3216,4.34159,20.0305
3,1,2.5,0.98519,0.847847,3.28016,5.96625,23.6817,0.25782,2.05379,0.828595,24.4241
4,1,2.5,0.923176,5.61447,25,25,25,0.285675,3.43372,1.73337,23.5702
5,1,2.5,0.417214,25,25,25,25,0.771966,3.46596,2.6802,10.6933
6,1,2.5,0.379781,0.731576,6.78343,10.3879,13.9678,0.344066,3.567,1.79777,19.4703
7,1,2.5,1.30465,1.76224,12.7444,24.8952,16.8132,0.681642,6.36827,0.424776,6.07033
8,1,2.5,0.25,2.38944,25,25,18.6016,1.46292,15.6712,0.414462,10.5228
9,1,2.5,1.64013,16.3735,25,25,25,0.25,15.5353,1.92563,25
10,1,2.5,0.728942,1.98601,12.6295,9.70329,24.9511,0.25,6.46915,1.13425,4.39887
11,1,2.5,0.370911,2.81932,21.6516,22.394,8.06638,0.324947,8.45232,0.441837,14.1959
12,1,2.5,0.25,1.58758,25,25,12.7178,0.889913,25,0.54073,2.70254
13,1,2.5,0.393709,3.59137,22.6268,23.0798,16.8357,0.412307,3.69671,4.2269,20.2572
14,1,2.5,0.25,0.777139,18.2093,7.29917,15.1989,1.19675,4.39878,0.627496,19.2882
15,1,2.5,2.91704,25,10.4074,21.3596,25,0.25,0.560644,0.598648,25
16,1,2.5,1.40832,25,25,25,24.3852,0.27728,1.36959,1.85746,11.0378
18,1,2.5,0.25,1.4414,10.4474,25,14.1473,3.07887,4.95634,2.42079,14.4614
19,1,2.5,0.425951,17.2858,25,25,25,1.59433,13.7287,4.34539,21.9514
20,1,2.5,0.25,9.76218,25,25,20.1696,2.57858,25,1.02537,7.3404
21,1,2.5,0.25,2.80126,25,25,14.3378,0.748833,11.7278,0.987858,18.684
22,1,2.5,2.04311,6.19087,19.6289,21.5383,18.2365,0.326131,4.05398,0.539319,20.7053
23,1,2.5,0.25,10.1493,24.9937,25,19.2732,0.526691,21.528,0.48776,19.2791
24,1,2.5,0.395459,2.36398,19.8322,12.512,20.8272,0.276305,3.18004,0.49283,21.658
25,1,2.5,2.2202,1.94637,25,25,20.6488,0.346085,25,1.64287,20.653
26,1,2.5,0.25,1.18027,16.7105,23.7637,14.4406,0.467436,10.0031,1.13008,5.83249
27,1,2.5,0.25,0.25,12.7799,23.2123,9.45213,1.62917,5.49482,0.36094,9.6945
28,1,2.5,0.368618,6.16827,23.9276,24.0879,21.9485,0.276835,5.66576,0.655741,8.80275
29,1,2.5,0.517244,4.3659,25,25,25,0.288637,7.77293,0.430702,22.4943
30,1,2.5,0.816087,25,25,25,25,0.378431,25,0.404297,10.9582
31,1,2.5,0.25,0.476324,13.4137,25,5.13997,0.889109,18.4798,1.63636,12.6181
32,1,2.5,1.8019,4.18846,22.7404,12.4548,22.7248,0.25,2.18895,0.611019,24.5561
33,1,2.5,0.630883,5.0429,25,25,14.2276,0.31596,6.68114,1.33183,18.7193
34,1,2.5,3.75696,25,25,25,25,0.25,6.84309,2.40574,10.6004
35,1,2.5,1.22174,15.6768,25,25,9.31451,0.398785,2.6101,7.30568,15.6448
36,1,2.5,0.25,16.8432,25,25,13.8039,0.958424,20.0735,0.352538,16.0632
37,1,2.5,0.798071,22.1101,25,25,25,0.25,5.91777,0.859921,25
38,1,2.5,0.267758,0.692635,4.64659,22.3277,15.163,0.461024,1.83499,0.258979,19.5292
39,1,2.5,1.04488,6.97851,25,25,14.4157,0.668908,5.62411,4.008,18.8289
40,1,2.5,1.73094,5.17947,9.72569,25,15.605,0.25,7.21524,0.765759,25
41,1,2.5,0.887404,25,25,25,6.01509,1.43788,9.80689,4.66331,18.5161
42,1,2.5,0.429416,3.36203,25,25,13.152,0.323977,9.73456,1.57104,20.8081
45,1,2.5,1.07966,6.61203,25,25,25,0.320456,13.4551,1.48949,13.0432
46,1,2.5,0.25,0.365063,14.8495,20.2757,2.28707,0.397138,1.22054,0.363933,17.0499
47,1,2.5,0.25,12.7574,25,25,8.44251,1.25148,18.2723,0.836197,6.07045
48,1,2.5,0.25,3.35461,25,25,3.61098,3.89976,25,2.77801,3.06584
