,best_obs,sw_gw_0_variance,unc_reduce_iter_base,unc_reduce_initial_base
or13c01_0,or13c01_0,48480.87987312127,3.8812368232077015,3.8812368232077015
or12c00_0,or12c00_0,47523.100671259046,1.975581310340928,5.780141144259268
or12c01_0,or12c01_0,46954.09035902209,1.1973341473930381,6.908267687964575
or12c02_0,or12c02_0,46575.49220165781,0.8063156041772448,7.658880851795428
or13c03_0,or13c03_0,46309.21236472109,0.5717166354008919,8.186810391281071
or09c08_0,or09c08_0,46060.856435331065,0.5362991869393697,8.679203780655733
or33c11_0,or33c11_0,45817.27745131763,0.5288199196978038,9.162126341890264
or01c00_0,or01c00_0,45614.18487405246,0.44326635837531086,9.564780076480133
or31c00_0,or31c00_0,45424.13866145814,0.41663840561672144,9.941567934885462
or11c03_0,or11c03_0,45269.27671463471,0.34092434416336115,10.24859905376726
