,best_obs,sw_gw_1_variance,unc_reduce_iter_base,unc_reduce_initial_base
or13c01_0,or13c01_0,110932.08852945844,0.03620095091884043,0.03620095091884043
or12c00_0,or12c00_0,110912.34306201965,0.017799599467160136,0.05399410676173371
or12c01_0,or12c01_0,110900.54477807008,0.010637485084026933,0.0646258482307076
or33c11_0,or33c11_0,110891.7369799811,0.007942069271711111,0.07256278487278481
or01c00_0,or01c00_0,110883.23193697784,0.00766968147030865,0.08022690100862773
or13c03_0,or13c03_0,110876.88379525272,0.0057250691689117944,0.08594737713196471
or32c11_0,or32c11_0,110871.58766629429,0.004776585323424577,0.09071985710558733
or35c09_0,or35c09_0,110866.30879226266,0.00476125050857973,0.09547678821450924
or37c12_0,or37c12_0,110861.37369131128,0.004451398269806882,0.09992393643221748
or12c02_0,or12c02_0,110856.84500857844,0.004084996046908211,0.10400485059027251
