,obsval,iidx,jidx,kper,kidx,obsnme,ins_str,obgnme
0,42.46696472167969,0,0,0,0,hds_00_000_000_000,l1 w !hds_00_000_000_000!,hds
1,42.35750961303711,0,1,0,0,hds_00_000_001_000,l1 w !hds_00_000_001_000!,hds
2,42.13361740112305,0,2,0,0,hds_00_000_002_000,l1 w !hds_00_000_002_000!,hds
3,41.826805114746094,0,3,0,0,hds_00_000_003_000,l1 w !hds_00_000_003_000!,hds
4,41.46862030029297,0,4,0,0,hds_00_000_004_000,l1 w !hds_00_000_004_000!,hds
5,41.03614807128906,0,5,0,0,hds_00_000_005_000,l1 w !hds_00_000_005_000!,hds
6,40.577144622802734,0,6,0,0,hds_00_000_006_000,l1 w !hds_00_000_006_000!,hds
7,40.10464859008789,0,7,0,0,hds_00_000_007_000,l1 w !hds_00_000_007_000!,hds
8,39.580665588378906,0,8,0,0,hds_00_000_008_000,l1 w !hds_00_000_008_000!,hds
9,39.05598449707031,0,9,0,0,hds_00_000_009_000,l1 w !hds_00_000_009_000!,hds
10,38.53889083862305,0,10,0,0,hds_00_000_010_000,l1 w !hds_00_000_010_000!,hds
11,38.01416778564453,0,11,0,0,hds_00_000_011_000,l1 w !hds_00_000_011_000!,hds
12,37.45843505859375,0,12,0,0,hds_00_000_012_000,l1 w !hds_00_000_012_000!,hds
13,36.867984771728516,0,13,0,0,hds_00_000_013_000,l1 w !hds_00_000_013_000!,hds
14,36.25208282470703,0,14,0,0,hds_00_000_014_000,l1 w !hds_00_000_014_000!,hds
15,35.59410858154297,0,15,0,0,hds_00_000_015_000,l1 w !hds_00_000_015_000!,hds
16,35.75045394897461,0,16,0,0,hds_00_000_016_000,l1 w !hds_00_000_016_000!,hds
17,35.86031723022461,0,17,0,0,hds_00_000_017_000,l1 w !hds_00_000_017_000!,hds
18,35.929019927978516,0,18,0,0,hds_00_000_018_000,l1 w !hds_00_000_018_000!,hds
19,35.96415710449219,0,19,0,0,hds_00_000_019_000,l1 w !hds_00_000_019_000!,hds
20,42.49251174926758,1,0,0,0,hds_00_001_000_000,l1 w !hds_00_001_000_000!,hds
21,42.377315521240234,1,1,0,0,hds_00_001_001_000,l1 w !hds_00_001_001_000!,hds
22,42.14999008178711,1,2,0,0,hds_00_001_002_000,l1 w !hds_00_001_002_000!,hds
23,41.84246826171875,1,3,0,0,hds_00_001_003_000,l1 w !hds_00_001_003_000!,hds
24,41.48594284057617,1,4,0,0,hds_00_001_004_000,l1 w !hds_00_001_004_000!,hds
25,41.048805236816406,1,5,0,0,hds_00_001_005_000,l1 w !hds_00_001_005_000!,hds
26,40.575191497802734,1,6,0,0,hds_00_001_006_000,l1 w !hds_00_001_006_000!,hds
27,40.090850830078125,1,7,0,0,hds_00_001_007_000,l1 w !hds_00_001_007_000!,hds
28,39.55873107910156,1,8,0,0,hds_00_001_008_000,l1 w !hds_00_001_008_000!,hds
29,39.02165603637695,1,9,0,0,hds_00_001_009_000,l1 w !hds_00_001_009_000!,hds
30,38.50786590576172,1,10,0,0,hds_00_001_010_000,l1 w !hds_00_001_010_000!,hds
31,37.986900329589844,1,11,0,0,hds_00_001_011_000,l1 w !hds_00_001_011_000!,hds
32,37.43271255493164,1,12,0,0,hds_00_001_012_000,l1 w !hds_00_001_012_000!,hds
33,36.85158157348633,1,13,0,0,hds_00_001_013_000,l1 w !hds_00_001_013_000!,hds
34,36.24275588989258,1,14,0,0,hds_00_001_014_000,l1 w !hds_00_001_014_000!,hds
35,35.59843444824219,1,15,0,0,hds_00_001_015_000,l1 w !hds_00_001_015_000!,hds
36,35.74165725708008,1,16,0,0,hds_00_001_016_000,l1 w !hds_00_001_016_000!,hds
37,35.84784698486328,1,17,0,0,hds_00_001_017_000,l1 w !hds_00_001_017_000!,hds
38,35.91584777832031,1,18,0,0,hds_00_001_018_000,l1 w !hds_00_001_018_000!,hds
39,35.949764251708984,1,19,0,0,hds_00_001_019_000,l1 w !hds_00_001_019_000!,hds
40,42.546783447265625,2,0,0,0,hds_00_002_000_000,l1 w !hds_00_002_000_000!,hds
41,42.42884826660156,2,1,0,0,hds_00_002_001_000,l1 w !hds_00_002_001_000!,hds
42,42.1908073425293,2,2,0,0,hds_00_002_002_000,l1 w !hds_00_002_002_000!,hds
43,41.87784194946289,2,3,0,0,hds_00_002_003_000,l1 w !hds_00_002_003_000!,hds
44,41.51362991333008,2,4,0,0,hds_00_002_004_000,l1 w !hds_00_002_004_000!,hds
45,41.056060791015625,2,5,0,0,hds_00_002_005_000,l1 w !hds_00_002_005_000!,hds
46,40.56572341918945,2,6,0,0,hds_00_002_006_000,l1 w !hds_00_002_006_000!,hds
47,40.06175231933594,2,7,0,0,hds_00_002_007_000,l1 w !hds_00_002_007_000!,hds
48,39.51753234863281,2,8,0,0,hds_00_002_008_000,l1 w !hds_00_002_008_000!,hds
49,38.97234344482422,2,9,0,0,hds_00_002_009_000,l1 w !hds_00_002_009_000!,hds
50,38.44699478149414,2,10,0,0,hds_00_002_010_000,l1 w !hds_00_002_010_000!,hds
51,37.92772674560547,2,11,0,0,hds_00_002_011_000,l1 w !hds_00_002_011_000!,hds
52,37.38318634033203,2,12,0,0,hds_00_002_012_000,l1 w !hds_00_002_012_000!,hds
53,36.822669982910156,2,13,0,0,hds_00_002_013_000,l1 w !hds_00_002_013_000!,hds
54,36.22834396362305,2,14,0,0,hds_00_002_014_000,l1 w !hds_00_002_014_000!,hds
55,35.58552932739258,2,15,0,0,hds_00_002_015_000,l1 w !hds_00_002_015_000!,hds
56,35.72525405883789,2,16,0,0,hds_00_002_016_000,l1 w !hds_00_002_016_000!,hds
57,35.82264709472656,2,17,0,0,hds_00_002_017_000,l1 w !hds_00_002_017_000!,hds
58,35.88679885864258,2,18,0,0,hds_00_002_018_000,l1 w !hds_00_002_018_000!,hds
59,35.91929244995117,2,19,0,0,hds_00_002_019_000,l1 w !hds_00_002_019_000!,hds
60,42.62973403930664,3,0,0,0,hds_00_003_000_000,l1 w !hds_00_003_000_000!,hds
61,42.512142181396484,3,1,0,0,hds_00_003_001_000,l1 w !hds_00_003_001_000!,hds
62,42.26911926269531,3,2,0,0,hds_00_003_002_000,l1 w !hds_00_003_002_000!,hds
63,41.93714904785156,3,3,0,0,hds_00_003_003_000,l1 w !hds_00_003_003_000!,hds
64,41.552703857421875,3,4,0,0,hds_00_003_004_000,l1 w !hds_00_003_004_000!,hds
65,41.07395553588867,3,5,0,0,hds_00_003_005_000,l1 w !hds_00_003_005_000!,hds
66,40.54757308959961,3,6,0,0,hds_00_003_006_000,l1 w !hds_00_003_006_000!,hds
67,40.02341079711914,3,7,0,0,hds_00_003_007_000,l1 w !hds_00_003_007_000!,hds
68,39.4478759765625,3,8,0,0,hds_00_003_008_000,l1 w !hds_00_003_008_000!,hds
69,38.87137222290039,3,9,0,0,hds_00_003_009_000,l1 w !hds_00_003_009_000!,hds
70,38.35305404663086,3,10,0,0,hds_00_003_010_000,l1 w !hds_00_003_010_000!,hds
71,37.84419631958008,3,11,0,0,hds_00_003_011_000,l1 w !hds_00_003_011_000!,hds
72,37.31803512573242,3,12,0,0,hds_00_003_012_000,l1 w !hds_00_003_012_000!,hds
73,36.77047348022461,3,13,0,0,hds_00_003_013_000,l1 w !hds_00_003_013_000!,hds
74,36.19023513793945,3,14,0,0,hds_00_003_014_000,l1 w !hds_00_003_014_000!,hds
75,35.585052490234375,3,15,0,0,hds_00_003_015_000,l1 w !hds_00_003_015_000!,hds
76,35.696903228759766,3,16,0,0,hds_00_003_016_000,l1 w !hds_00_003_016_000!,hds
77,35.78351593017578,3,17,0,0,hds_00_003_017_000,l1 w !hds_00_003_017_000!,hds
78,35.84090805053711,3,18,0,0,hds_00_003_018_000,l1 w !hds_00_003_018_000!,hds
79,35.87065124511719,3,19,0,0,hds_00_003_019_000,l1 w !hds_00_003_019_000!,hds
80,42.74617004394531,4,0,0,0,hds_00_004_000_000,l1 w !hds_00_004_000_000!,hds
81,42.621456146240234,4,1,0,0,hds_00_004_001_000,l1 w !hds_00_004_001_000!,hds
82,42.376888275146484,4,2,0,0,hds_00_004_002_000,l1 w !hds_00_004_002_000!,hds
83,42.034881591796875,4,3,0,0,hds_00_004_003_000,l1 w !hds_00_004_003_000!,hds
84,41.60668182373047,4,4,0,0,hds_00_004_004_000,l1 w !hds_00_004_004_000!,hds
85,41.088172912597656,4,5,0,0,hds_00_004_005_000,l1 w !hds_00_004_005_000!,hds
