real_name,obj_1,obj_2
gen=0_member=0,2.43167,36.4499
gen=0_member=1,1.88734,43.9673
gen=0_member=2,3.91425,33.946
gen=0_member=3,3.07913,40.7618
gen=0_member=4,1.45905,43.7686
gen=0_member=5,3.66033,39.9891
gen=0_member=6,4.76846,37.5444
gen=0_member=7,3.12341,39.2196
gen=0_member=8,1.81923,43.0001
gen=0_member=9,5.56538,36.7226
gen=1_member=10_de,2.36077,36.6212
gen=1_member=11_de,3.11716,42.7335
gen=1_member=12_de,5.16449,32.2633
gen=1_member=13_de,2.4653,38.156
gen=1_member=14_de,3.99657,35.3938
gen=1_member=15_de,6.70303,32.5454
gen=1_member=16_de,1.86628,40.7171
gen=1_member=17_de,6.44047,35.9698
gen=1_member=18_de,5.4948,36.2409
gen=1_member=19_de,4.88745,33.7891
gen=2_member=20_de,3.99203,32.9037
gen=2_member=21_de,2.70267,34.691
gen=2_member=22_de,5.49249,32.7
gen=2_member=23_de,1.78975,35.824
gen=2_member=24_de,6.02258,32.7165
gen=2_member=25_de,5.22047,32.0498
gen=2_member=26_de,6.63889,32.579
gen=2_member=27_de,4.02746,33.1212
gen=2_member=28_de,5.75044,32.4825
gen=2_member=29_de,4.00607,33.3451
gen=3_member=30_de,4.30879,36.7046
gen=3_member=31_de,4.75631,33.1737
gen=3_member=32_de,4.07713,32.9607
gen=3_member=33_de,5.55965,33.7916
gen=3_member=34_de,5.72614,34.104
gen=3_member=35_de,3.81558,35.7016
gen=3_member=36_de,3.28896,35.3601
gen=3_member=37_de,3.40312,35.5253
gen=3_member=38_de,6.23919,33.3842
gen=3_member=39_de,1.96588,35.4096
gen=4_member=40_de,1.63568,36.0174
gen=4_member=41_de,3.18896,35.5924
gen=4_member=42_de,4.86057,38.0836
gen=4_member=43_de,6.06753,32.5738
gen=4_member=44_de,3.16296,35.4127
gen=4_member=45_de,5.75247,33.2385
gen=4_member=46_de,4.15871,37.5868
gen=4_member=47_de,2.62812,35.6002
gen=4_member=48_de,1.64945,36.0797
gen=4_member=49_de,3.17676,34.3221
gen=5_member=50_de,5.70784,32.906
gen=5_member=51_de,5.46736,33.4738
gen=5_member=52_de,3.01031,34.9339
gen=5_member=53_de,3.66445,37.1648
gen=5_member=54_de,4.82172,34.3336
gen=5_member=55_de,2.7894,34.8281
gen=5_member=56_de,2.37869,36.899
gen=5_member=57_de,1.51007,39.3322
gen=5_member=58_de,5.03718,34.1399
gen=5_member=59_de,6.20029,32.9026
gen=6_member=60_de,3.39566,36.2913
gen=6_member=61_de,4.18886,33.8816
gen=6_member=62_de,5.38993,33.0406
gen=6_member=63_de,3.10895,35.2865
gen=6_member=64_de,2.48026,37.7885
gen=6_member=65_de,5.01645,33.2359
gen=6_member=66_de,2.89374,40.2372
gen=6_member=67_de,2.22558,36.9519
gen=6_member=68_de,2.26588,38.681
gen=6_member=69_de,1.34486,42.6531
gen=7_member=70_de,5.24099,35.6857
gen=7_member=71_de,1.44933,36.3216
gen=7_member=72_de,0.513329,43.1089
gen=7_member=73_de,1.88185,40.056
gen=7_member=74_de,3.39575,38.9893
gen=7_member=75_de,1.47063,44.1129
gen=7_member=76_de,1.3228,43.6912
gen=7_member=77_de,1.49406,43.8959
gen=7_member=78_de,2.25923,36.5363
gen=7_member=79_de,2.40587,36.454
gen=8_member=80_de,5.13254,34.22
gen=8_member=81_de,1.59407,42.3554
gen=8_member=82_de,2.3876,44.7257
gen=8_member=83_de,2.57835,41.9292
gen=8_member=84_de,2.4746,39.0783
gen=8_member=85_de,2.67592,38.809
gen=8_member=86_de,1.09575,40.7731
gen=8_member=87_de,2.35119,38.3624
gen=8_member=88_de,1.59187,39.9487
gen=8_member=89_de,3.29765,35.4217
gen=9_member=90_de,3.36495,32.9882
gen=9_member=91_de,-0.164678,55.8014
gen=9_member=92_de,1.93447,33.8232
gen=9_member=93_de,8.48328,34.4165
gen=9_member=94_de,0.417262,41.105
gen=9_member=95_de,2.87115,38.6381
gen=9_member=96_de,0.62319,36.2946
gen=9_member=97_de,5.33936,36.6637
gen=9_member=98_de,0.491626,51.3791
gen=9_member=99_de,10.4551,25.4135
