member,map_to_member,constraint,risk,stack_mean,stack_stdev,pre_shift,post_shift
GEN=11_MEMBER=110_DE,GEN=10_MEMBER=102_DE,OBJ_1,0.671783,8.3066,0.271441,6.58591,8.61914
GEN=11_MEMBER=110_DE,GEN=10_MEMBER=102_DE,OBJ_2,0.671783,26.3138,0.329457,34.5418,26.2447
GEN=11_MEMBER=111_DE,GEN=10_MEMBER=105_DE,OBJ_1,0.99,0.142552,0.271441,2.72566,0.483283
GEN=11_MEMBER=111_DE,GEN=10_MEMBER=105_DE,OBJ_2,0.99,54.3642,0.329457,47.8871,55.0094
GEN=11_MEMBER=112_DE,GEN=10_MEMBER=101_DE,OBJ_1,0.409811,0.142552,0.271441,3.29544,-0.0171117
GEN=11_MEMBER=112_DE,GEN=10_MEMBER=101_DE,OBJ_2,0.409811,55.046,0.329457,45.174,54.9397
GEN=11_MEMBER=113_DE,GEN=10_MEMBER=100_DE,OBJ_1,0.937051,10.1426,0.271441,8.42398,10.4833
GEN=11_MEMBER=113_DE,GEN=10_MEMBER=100_DE,OBJ_2,0.937051,22.8756,0.329457,29.0254,23.5208
GEN=11_MEMBER=114_DE,GEN=10_MEMBER=100_DE,OBJ_1,0.931759,10.1426,0.271441,6.99098,10.4833
GEN=11_MEMBER=114_DE,GEN=10_MEMBER=100_DE,OBJ_2,0.931759,22.8756,0.329457,31.6498,23.5208
GEN=11_MEMBER=115_DE,GEN=10_MEMBER=107_DE,OBJ_1,0.658198,10.1426,0.271441,7.71205,10.4551
GEN=11_MEMBER=115_DE,GEN=10_MEMBER=107_DE,OBJ_2,0.658198,35.4737,0.329457,33.0814,35.4047
GEN=11_MEMBER=116_DE,GEN=10_MEMBER=106_DE,OBJ_1,0.730482,5.03522,0.271441,6.91951,5.34777
GEN=11_MEMBER=116_DE,GEN=10_MEMBER=106_DE,OBJ_2,0.730482,30.9464,0.329457,29.4378,30.8774
GEN=11_MEMBER=117_DE,GEN=10_MEMBER=101_DE,OBJ_1,0.99,0.142552,0.271441,2.87991,0.483283
GEN=11_MEMBER=117_DE,GEN=10_MEMBER=101_DE,OBJ_2,0.99,55.046,0.329457,47.8801,55.6912
GEN=11_MEMBER=118_DE,GEN=10_MEMBER=106_DE,OBJ_1,0.99,5.03522,0.271441,7.04518,5.37596
GEN=11_MEMBER=118_DE,GEN=10_MEMBER=106_DE,OBJ_2,0.99,30.9464,0.329457,30.2593,31.5916
GEN=11_MEMBER=119_DE,GEN=10_MEMBER=105_DE,OBJ_1,0.99,0.142552,0.271441,3.02122,0.483283
GEN=11_MEMBER=119_DE,GEN=10_MEMBER=105_DE,OBJ_2,0.99,54.3642,0.329457,46.9587,55.0094
