member,map_to_member,constraint,risk,stack_mean,stack_stdev,pre_shift,post_shift
GEN=1_MEMBER=10_DE,GEN=0_MEMBER=2,OBJ_1,0.808579,2.72859,0.271441,4.81607,3.06932
GEN=1_MEMBER=10_DE,GEN=0_MEMBER=2,OBJ_2,0.808579,31.2219,0.329457,38.4392,31.8671
GEN=1_MEMBER=11_DE,GEN=0_MEMBER=8,OBJ_1,0.34335,3.0543,0.271441,5.92848,2.86792
GEN=1_MEMBER=11_DE,GEN=0_MEMBER=8,OBJ_2,0.34335,44.557,0.329457,40.5397,44.3221
GEN=1_MEMBER=12_DE,GEN=0_MEMBER=9,OBJ_1,0.310244,10.0176,0.271441,5.37977,9.83119
GEN=1_MEMBER=12_DE,GEN=0_MEMBER=9,OBJ_2,0.310244,32.263,0.329457,39.0754,32.028
GEN=1_MEMBER=13_DE,GEN=0_MEMBER=8,OBJ_1,0.0321403,3.0543,0.271441,1.60308,2.74707
GEN=1_MEMBER=13_DE,GEN=0_MEMBER=8,OBJ_2,0.0321403,44.557,0.329457,45.0588,44.3221
GEN=1_MEMBER=14_DE,GEN=0_MEMBER=8,OBJ_1,0.685604,3.0543,0.271441,4.22763,3.36685
GEN=1_MEMBER=14_DE,GEN=0_MEMBER=8,OBJ_2,0.685604,44.557,0.329457,40.7976,44.4879
GEN=1_MEMBER=15_DE,GEN=0_MEMBER=9,OBJ_1,0.915163,10.0176,0.271441,7.21327,10.3583
GEN=1_MEMBER=15_DE,GEN=0_MEMBER=9,OBJ_2,0.915163,32.263,0.329457,36.002,32.9082
GEN=1_MEMBER=16_DE,GEN=0_MEMBER=8,OBJ_1,0.568018,3.0543,0.271441,5.51061,2.89464
GEN=1_MEMBER=16_DE,GEN=0_MEMBER=8,OBJ_2,0.568018,44.557,0.329457,41.8651,44.4507
GEN=1_MEMBER=17_DE,GEN=0_MEMBER=9,OBJ_1,0.722243,10.0176,0.271441,6.74894,10.3301
GEN=1_MEMBER=17_DE,GEN=0_MEMBER=9,OBJ_2,0.722243,32.263,0.329457,38.7039,32.1939
GEN=1_MEMBER=18_DE,GEN=0_MEMBER=9,OBJ_1,0.34335,10.0176,0.271441,7.20264,9.83119
GEN=1_MEMBER=18_DE,GEN=0_MEMBER=9,OBJ_2,0.34335,32.263,0.329457,37.6031,32.028
GEN=1_MEMBER=19_DE,GEN=0_MEMBER=9,OBJ_1,0.129617,10.0176,0.271441,5.92287,9.71034
GEN=1_MEMBER=19_DE,GEN=0_MEMBER=9,OBJ_2,0.129617,32.263,0.329457,37.2268,32.028
