real_name,obj_1,obj_2
gen=0_member=0,4.00168,42.4397
gen=0_member=1,4.74746,43.0031
gen=0_member=2,7.82292,30.9262
gen=0_member=3,5.60573,37.9443
gen=0_member=4,6.52484,41.1806
gen=0_member=5,7.44106,38.0162
gen=0_member=6,7.46853,38.0256
gen=0_member=7,5.24883,42.7171
gen=0_member=8,3.89954,44.2942
gen=0_member=9,7.60184,32.9611
gen=10_member=100_de,10.4551,22.8065
gen=10_member=101_de,-0.164678,54.8111
gen=10_member=102_de,8.12022,26.0789
gen=10_member=103_de,7.44204,32.989
gen=10_member=104_de,10.4551,32.8127
gen=10_member=105_de,0.483283,55.0094
gen=10_member=106_de,5.37596,31.5916
gen=10_member=107_de,10.4551,35.4047
gen=10_member=108_de,6.36966,38.8505
gen=10_member=109_de,6.89163,30.1225
gen=1_member=10_de,5.88402,36.9922
gen=1_member=11_de,5.93812,37.3988
gen=1_member=12_de,6.94936,32.0635
gen=1_member=13_de,3.41369,45.2406
gen=1_member=14_de,5.62867,35.4529
gen=1_member=15_de,8.23866,29.0593
gen=1_member=16_de,5.398,42.5184
gen=1_member=17_de,6.94257,36.0001
gen=1_member=18_de,8.37272,33.3604
gen=1_member=19_de,7.3322,28.9387
gen=2_member=20_de,5.70745,35.4125
gen=2_member=21_de,3.36175,43.504
gen=2_member=22_de,7.44917,30.7614
gen=2_member=23_de,3.69038,42.1904
gen=2_member=24_de,7.83525,31.528
gen=2_member=25_de,7.26365,28.9662
gen=2_member=26_de,8.00878,31.0471
gen=2_member=27_de,7.7992,28.7705
gen=2_member=28_de,5.67488,34.1775
gen=2_member=29_de,3.09118,42.6489
gen=3_member=30_de,8.2877,29.6234
gen=3_member=31_de,7.52989,29.5858
gen=3_member=32_de,5.81926,32.9866
gen=3_member=33_de,7.56367,30.9303
gen=3_member=34_de,7.89882,32.1758
gen=3_member=35_de,6.40148,32.3216
gen=3_member=36_de,5.83694,34.9713
gen=3_member=37_de,5.38889,34.4731
gen=3_member=38_de,6.79794,32.1929
gen=3_member=39_de,4.25888,39.9393
gen=4_member=40_de,5.58624,33.5077
gen=4_member=41_de,3.63067,44.3319
gen=4_member=42_de,8.39486,29.5816
gen=4_member=43_de,7.87987,28.3422
gen=4_member=44_de,3.90189,43.7052
gen=4_member=45_de,7.95646,29.0157
gen=4_member=46_de,8.28189,29.1143
gen=4_member=47_de,6.3362,33.8117
gen=4_member=48_de,5.47882,33.8391
gen=4_member=49_de,5.72049,35.1244
gen=5_member=50_de,7.91251,28.6787
gen=5_member=51_de,7.46329,31.1618
gen=5_member=52_de,4.33047,41.0216
gen=5_member=53_de,7.20292,34.8621
gen=5_member=54_de,7.89013,28.4949
gen=5_member=55_de,4.21258,39.6675
gen=5_member=56_de,5.38163,36.3665
gen=5_member=57_de,4.47411,39.6287
gen=5_member=58_de,4.93281,39.6943
gen=5_member=59_de,8.16937,30.0179
gen=6_member=60_de,4.90595,41.2718
gen=6_member=61_de,8.24967,29.0156
gen=6_member=62_de,4.24071,37.8844
gen=6_member=63_de,3.9245,43.3598
gen=6_member=64_de,3.36266,45.0529
gen=6_member=65_de,8.06672,28.9563
gen=6_member=66_de,4.65809,43.8211
gen=6_member=67_de,7.11289,30.7101
gen=6_member=68_de,4.66702,40.9961
gen=6_member=69_de,3.57283,41.9995
gen=7_member=70_de,8.07025,29.1054
gen=7_member=71_de,5.72372,38.2516
gen=7_member=72_de,4.43775,41.3004
gen=7_member=73_de,4.63029,42.36
gen=7_member=74_de,3.5727,45.6166
gen=7_member=75_de,3.03744,44.3961
gen=7_member=76_de,4.11821,43.4753
gen=7_member=77_de,3.98685,43.8076
gen=7_member=78_de,7.43295,32.5823
gen=7_member=79_de,4.64873,41.6559
gen=8_member=80_de,6.77733,36.5328
gen=8_member=81_de,3.26249,42.6266
gen=8_member=82_de,2.52675,48.73
gen=8_member=83_de,4.14826,41.7681
gen=8_member=84_de,3.2044,44.4722
gen=8_member=85_de,3.67494,44.518
gen=8_member=86_de,4.01204,41.9392
gen=8_member=87_de,3.23956,43.7357
gen=8_member=88_de,3.75271,43.844
gen=8_member=89_de,3.53187,44.6182
gen=9_member=90_de,5.2113,37.6365
gen=9_member=91_de,4.23008,41.6876
gen=9_member=92_de,3.45422,43.9929
gen=9_member=93_de,8.77889,31.4951
gen=9_member=94_de,5.15043,41.595
gen=9_member=95_de,6.51709,35.5347
gen=9_member=96_de,4.04237,41.1743
gen=9_member=97_de,3.29018,44.1603
gen=9_member=98_de,4.94313,43.1227
gen=9_member=99_de,9.27417,25.9654
