real_name,obj_1,obj_2
0||gen=5_member=50_de,10.4833,26.3799
1||gen=5_member=50_de,9.83532,26.4171
2||gen=5_member=50_de,9.95617,26.2513
3||gen=5_member=50_de,10.4551,27.1314
4||gen=5_member=50_de,9.98289,26.2513
0||gen=5_member=51_de,0.483283,51.4679
1||gen=5_member=51_de,-0.164678,51.5052
2||gen=5_member=51_de,-0.043828,51.3394
3||gen=5_member=51_de,0.455093,52.2195
4||gen=5_member=51_de,-0.0171117,51.3394
0||gen=5_member=52_de,6.89163,24.7569
1||gen=5_member=52_de,6.24366,24.7941
2||gen=5_member=52_de,6.36451,24.6283
3||gen=5_member=52_de,6.86344,25.5084
4||gen=5_member=52_de,6.39123,24.6283
0||gen=5_member=53_de,2.48328,40.1531
1||gen=5_member=53_de,1.83532,40.1903
2||gen=5_member=53_de,1.95617,40.0245
3||gen=5_member=53_de,2.45509,40.9046
4||gen=5_member=53_de,1.98289,40.0245
0||gen=5_member=54_de,6.89163,23.8775
1||gen=5_member=54_de,6.24366,23.9147
2||gen=5_member=54_de,6.36451,23.7489
3||gen=5_member=54_de,6.86344,24.629
4||gen=5_member=54_de,6.39123,23.7489
0||gen=5_member=55_de,10.4833,21.4709
1||gen=5_member=55_de,9.83532,21.5082
2||gen=5_member=55_de,9.95617,21.3423
3||gen=5_member=55_de,10.4551,22.2224
4||gen=5_member=55_de,9.98289,21.3423
0||gen=5_member=56_de,0.483283,45.6216
1||gen=5_member=56_de,-0.164678,45.6589
2||gen=5_member=56_de,-0.043828,45.493
3||gen=5_member=56_de,0.455093,46.3731
4||gen=5_member=56_de,-0.0171117,45.493
0||gen=5_member=57_de,0.483283,44.4442
1||gen=5_member=57_de,-0.164678,44.4814
2||gen=5_member=57_de,-0.043828,44.3156
3||gen=5_member=57_de,0.455093,45.1957
4||gen=5_member=57_de,-0.0171117,44.3156
0||gen=5_member=58_de,5.35661,31.1174
1||gen=5_member=58_de,4.70865,31.1547
2||gen=5_member=58_de,4.8295,30.9888
3||gen=5_member=58_de,5.32842,31.8689
4||gen=5_member=58_de,4.85621,30.9888
0||gen=5_member=59_de,10.4833,26.0898
1||gen=5_member=59_de,9.83532,26.127
2||gen=5_member=59_de,9.95617,25.9612
3||gen=5_member=59_de,10.4551,26.8413
4||gen=5_member=59_de,9.98289,25.9612
