real_name,obj_1,obj_2
gen=8_member=87_de,5.21851,30.9489
gen=8_member=82_de,0.483283,55.9688
gen=4_member=44_de,3.15116,40.8436
gen=8_member=80_de,7.7702,31.8829
gen=7_member=75_de,-0.164678,47.2202
gen=6_member=67_de,2.25723,41.5053
gen=8_member=89_de,1.24296,45.245
gen=8_member=83_de,5.36608,35.6729
gen=4_member=47_de,2.62741,40.4603
gen=1_member=15_de,4.80885,37.8625
gen=3_member=32_de,4.00576,37.0553
gen=7_member=78_de,3.80607,37.6613
gen=5_member=54_de,2.82158,40.2438
gen=7_member=71_de,0.317667,45.2265
gen=6_member=65_de,3.60684,39.1523
gen=5_member=53_de,2.4953,42.863
gen=5_member=52_de,2.14087,42.0205
gen=8_member=84_de,-0.0171117,48.347
gen=3_member=38_de,4.65602,38.0948
gen=6_member=63_de,1.6809,43.2458
gen=4_member=48_de,2.76356,39.3994
gen=8_member=86_de,-0.0171117,47.6732
gen=5_member=55_de,3.02334,38.9183
gen=1_member=13_de,1.38927,45.138
gen=4_member=45_de,3.19198,40.3387
gen=3_member=39_de,1.71333,42.0039
gen=7_member=70_de,2.96916,41.7389
gen=3_member=35_de,3.27882,40.5051
gen=2_member=21_de,1.50697,42.6821
gen=3_member=34_de,3.5375,40.5668
gen=2_member=27_de,3.33437,39.43
gen=2_member=29_de,2.6497,41.4896
gen=5_member=57_de,2.45582,41.5405
gen=3_member=37_de,2.96081,39.9718
gen=2_member=24_de,3.09808,40.3623
gen=0_member=2,3.31504,39.6457
gen=2_member=26_de,4.65692,37.3841
gen=3_member=31_de,4.69169,37.1152
gen=6_member=61_de,3.8384,38.0322
gen=6_member=68_de,1.38994,42.6099
gen=2_member=23_de,2.84379,40.4638
gen=8_member=81_de,-0.164678,42.4169
gen=5_member=51_de,2.97679,40.7968
gen=5_member=58_de,3.5564,39.58
gen=7_member=79_de,2.81108,39.1229
