real_name,dv_0,dv_1,dv_10,dv_11,dv_12,dv_13,dv_14,dv_15,dv_16,dv_17,dv_18,dv_19,dv_2,dv_20,dv_21,dv_22,dv_23,dv_24,dv_25,dv_26,dv_27,dv_28,dv_29,dv_3,dv_4,dv_5,dv_6,dv_7,dv_8,dv_9,obj2_add_par,obj1_add_par,_risk_
gen=5_member=50_de,1,0.149709,0.520922,0.670289,1,0.210899,0.953517,0,0,0.630655,0.698227,0.300979,1,0.50487,0.133671,0.730699,0.587393,0.13696,0.137287,0.174987,0.745017,0.459537,0.0792135,1,0.0125159,0.117841,0.259575,0,0.474376,0.830573,0,0,0.298462
gen=5_member=51_de,0,0.109905,0.649116,0.631175,1,0,1,0,0,0.666588,0.0554227,0.822229,0.888798,0.685543,0.200799,0.730699,0.438961,0.13696,0.137287,0,0.721294,0.556916,0.973653,1,0.0625795,0,0.531916,0,0.747216,0.734512,0,0,0.593955
gen=5_member=52_de,0.640834,0.0803788,1,0,0.659399,0.785758,0,0,0,0.286916,0.365037,0.397717,0.444644,0,0.0233132,0.0547525,1,0.0995833,1,1,0.671228,0.216176,1,0,0.371939,0,0,0,0,0.667534,0,0,0.759226
gen=5_member=53_de,0.2,0.0977913,0.928527,0.165672,1,0.735637,0.553448,0,0,0.666588,0.893297,0.424214,0.443991,0.282301,0.194612,0.343307,0.716388,0.469358,0.0903171,0.672447,0.675451,0.631312,0.858136,0.390202,0.798018,0,0.242554,0,0.121683,0.681354,0,0,0.850044
gen=5_member=54_de,0.640834,0.149709,0.168088,0.670289,0.856536,0.210899,0.953517,0,0,0.286916,0.698227,0.300979,0.2,0,0.133671,0.886036,0.587393,0.027392,0.222056,0.174987,0.745017,0.459537,0.0421902,0.302745,0.0125159,0.117841,0.259575,0,0.474376,0.830573,0,0,0.298462
gen=5_member=55_de,1,0.0924921,1,0.262998,0.498655,0.258109,0,0,0,0.733581,0,0.420715,0.533605,0,0.0797062,0.497872,1,0.540294,1,0.159442,0.743413,0.0508525,1,0,0.0807019,0.117841,0,0,0.531985,0.852032,0,0,0.361493
gen=5_member=56_de,0,0.0803788,1,0,0.659399,0.785758,0.0581033,0,0,0.331832,0.365037,0.397717,0.444644,0,0.0233132,0.0547525,1,0.50419,1,1,0.671228,0.216176,0.524192,0.813499,1,0,0,0,0,0.667534,0,0,0.759226
gen=5_member=57_de,0,0,0.2,0,0.81166,1,0.935316,0,0,1,0,0,0.443991,0.22257,0.139909,0,1,0.271393,0.506925,0.777456,0.621932,0.326264,0.554299,0.216089,1,0,0,0,0.752282,0.438259,0,0,0.331983
gen=5_member=58_de,0.487333,0.0174124,0.873756,0.316971,0.424038,0.806384,1,0,0,1,0.546112,0.254984,1,0.827464,0.278522,0.0728221,1,0.425796,0.313015,0,0.690334,0,0.475805,0.129432,0.565028,0,0,0,0.347326,0.412205,0,0,0.99
gen=5_member=59_de,1,0.109905,0.14222,0.579969,0.839256,0.207988,0.594236,0,0,0,0.329701,0.447211,1,0.601623,0.033089,0.507005,0.597642,0.505462,0.761733,0.397532,0.68611,0.465988,0.858136,0.780674,0.0625795,0,0.514895,0,0.375892,1,0,0,0.705919
