real_name,obj_1,obj_2
gen=10_member=100_de,10.4551,22.8065
gen=10_member=101_de,-0.164678,54.8111
gen=10_member=105_de,0.483283,55.0094
gen=8_member=82_de,2.52675,48.73
gen=10_member=106_de,5.37596,31.5916
gen=8_member=80_de,6.77733,36.5328
gen=1_member=19_de,7.3322,28.9387
gen=5_member=57_de,4.47411,39.6287
gen=9_member=99_de,9.27417,25.9654
gen=1_member=15_de,8.23866,29.0593
gen=8_member=89_de,3.53187,44.6182
gen=3_member=31_de,7.52989,29.5858
gen=6_member=65_de,8.06672,28.9563
gen=2_member=27_de,7.7992,28.7705
gen=7_member=74_de,3.5727,45.6166
gen=8_member=84_de,3.2044,44.4722
gen=4_member=43_de,7.87987,28.3422
gen=2_member=21_de,3.36175,43.504
gen=10_member=109_de,6.89163,30.1225
gen=5_member=52_de,4.33047,41.0216
gen=6_member=69_de,3.57283,41.9995
gen=10_member=102_de,8.12022,26.0789
gen=4_member=45_de,7.95646,29.0157
gen=8_member=86_de,4.01204,41.9392
gen=9_member=90_de,5.2113,37.6365
gen=0_member=1,4.74746,43.0031
gen=3_member=39_de,4.25888,39.9393
gen=6_member=62_de,4.24071,37.8844
gen=7_member=75_de,3.03744,44.3961
gen=5_member=55_de,4.21258,39.6675
gen=2_member=25_de,7.26365,28.9662
gen=4_member=44_de,3.90189,43.7052
gen=4_member=41_de,3.63067,44.3319
gen=5_member=58_de,4.93281,39.6943
gen=2_member=29_de,3.09118,42.6489
gen=8_member=83_de,4.14826,41.7681
gen=9_member=96_de,4.04237,41.1743
gen=8_member=81_de,3.26249,42.6266
gen=6_member=63_de,3.9245,43.3598
