real_name,obj_1,obj_2
gen=0_member=0,1.26016,45.7733
gen=0_member=1,1.76559,43.9029
gen=0_member=2,3.31504,39.6457
gen=0_member=3,1.29151,45.6074
gen=0_member=4,1.78933,45.3041
gen=0_member=5,1.90992,43.7344
gen=0_member=6,3.29526,42.5563
gen=0_member=7,2.22143,43.3744
gen=0_member=8,1.38928,45.4335
gen=0_member=9,3.79257,42.2062
gen=1_member=10_de,3.43972,41.0192
gen=1_member=11_de,2.57743,43.4471
gen=1_member=12_de,2.57817,42.6696
gen=1_member=13_de,1.38927,45.138
gen=1_member=14_de,3.10296,42.1586
gen=1_member=15_de,4.80885,37.8625
gen=1_member=16_de,1.36054,45.3196
gen=1_member=17_de,3.64517,41.8947
gen=1_member=18_de,2.92596,42.2765
gen=1_member=19_de,2.86904,41.3112
gen=2_member=20_de,4.135,37.1837
gen=2_member=21_de,1.50697,42.6821
gen=2_member=22_de,3.08847,41.1235
gen=2_member=23_de,2.84379,40.4638
gen=2_member=24_de,3.09808,40.3623
gen=2_member=25_de,2.81623,41.8239
gen=2_member=26_de,4.65692,37.3841
gen=2_member=27_de,3.33437,39.43
gen=2_member=28_de,3.41009,39.1408
gen=2_member=29_de,2.6497,41.4896
gen=3_member=30_de,3.72034,40.4585
gen=3_member=31_de,4.69169,37.1152
gen=3_member=32_de,4.00576,37.0553
gen=3_member=33_de,3.10712,39.7879
gen=3_member=34_de,3.5375,40.5668
gen=3_member=35_de,3.27882,40.5051
gen=3_member=36_de,2.63372,42.2641
gen=3_member=37_de,2.96081,39.9718
gen=3_member=38_de,4.65602,38.0948
gen=3_member=39_de,1.71333,42.0039
gen=4_member=40_de,2.7665,40.1431
gen=4_member=41_de,3.29848,41.1105
gen=4_member=42_de,3.40363,41.0881
gen=4_member=43_de,4.02903,37.5125
gen=4_member=44_de,3.15116,40.8436
gen=4_member=45_de,3.19198,40.3387
gen=4_member=46_de,2.76175,41.7493
gen=4_member=47_de,2.62741,40.4603
gen=4_member=48_de,2.76356,39.3994
gen=4_member=49_de,1.81064,44.0547
gen=5_member=50_de,3.3064,39.8864
gen=5_member=51_de,2.97679,40.7968
gen=5_member=52_de,2.14087,42.0205
gen=5_member=53_de,2.4953,42.863
gen=5_member=54_de,2.82158,40.2438
gen=5_member=55_de,3.02334,38.9183
gen=5_member=56_de,1.93337,43.9295
gen=5_member=57_de,2.45582,41.5405
gen=5_member=58_de,3.5564,39.58
gen=5_member=59_de,3.95477,40.8271
gen=6_member=60_de,2.4836,42.5689
gen=6_member=61_de,3.8384,38.0322
gen=6_member=62_de,3.16154,41.0295
gen=6_member=63_de,1.6809,43.2458
gen=6_member=64_de,2.60854,41.7865
gen=6_member=65_de,3.60684,39.1523
gen=6_member=66_de,1.79209,45.2818
gen=6_member=67_de,2.25723,41.5053
gen=6_member=68_de,1.38994,42.6099
gen=6_member=69_de,0.115824,48.294
gen=7_member=70_de,2.96916,41.7389
gen=7_member=71_de,0.317667,45.2265
gen=7_member=72_de,-0.0152725,47.4212
gen=7_member=73_de,2.35916,42.4869
gen=7_member=74_de,3.26014,41.1314
gen=7_member=75_de,-0.164678,47.2202
gen=7_member=76_de,2.1052,43.4
gen=7_member=77_de,0.939684,44.869
gen=7_member=78_de,3.80607,37.6613
gen=7_member=79_de,2.81108,39.1229
gen=8_member=80_de,7.7702,31.8829
gen=8_member=81_de,-0.164678,42.4169
gen=8_member=82_de,0.483283,55.9688
gen=8_member=83_de,5.36608,35.6729
gen=8_member=84_de,-0.0171117,48.347
gen=8_member=85_de,1.24296,46.1124
gen=8_member=86_de,-0.0171117,47.6732
gen=8_member=87_de,5.21851,30.9489
gen=8_member=88_de,-0.164678,44.2362
gen=8_member=89_de,1.24296,45.245
