real_name,obj_1,obj_2
0||gen=8_member=80_de,7.7702,31.1314
1||gen=8_member=80_de,7.12224,31.1686
2||gen=8_member=80_de,7.24309,31.0028
3||gen=8_member=80_de,7.74201,31.8829
4||gen=8_member=80_de,7.26981,31.0028
0||gen=8_member=81_de,0.483283,42.5455
1||gen=8_member=81_de,-0.164678,42.5827
2||gen=8_member=81_de,-0.043828,42.4169
3||gen=8_member=81_de,0.455093,43.297
4||gen=8_member=81_de,-0.0171117,42.4169
0||gen=8_member=82_de,0.483283,55.2173
1||gen=8_member=82_de,-0.164678,55.2545
2||gen=8_member=82_de,-0.043828,55.0887
3||gen=8_member=82_de,0.455093,55.9688
4||gen=8_member=82_de,-0.0171117,55.0887
0||gen=8_member=83_de,5.86648,35.6729
1||gen=8_member=83_de,5.21851,35.7102
2||gen=8_member=83_de,5.33936,35.5443
3||gen=8_member=83_de,5.83829,36.4244
4||gen=8_member=83_de,5.36608,35.5443
0||gen=8_member=84_de,0.483283,48.347
1||gen=8_member=84_de,-0.164678,48.3843
2||gen=8_member=84_de,-0.043828,48.2185
3||gen=8_member=84_de,0.455093,49.0986
4||gen=8_member=84_de,-0.0171117,48.2185
0||gen=8_member=85_de,1.27115,46.0752
1||gen=8_member=85_de,0.62319,46.1124
2||gen=8_member=85_de,0.74404,45.9466
3||gen=8_member=85_de,1.24296,46.8267
4||gen=8_member=85_de,0.770756,45.9466
0||gen=8_member=86_de,0.483283,47.6732
1||gen=8_member=86_de,-0.164678,47.7105
2||gen=8_member=86_de,-0.043828,47.5446
3||gen=8_member=86_de,0.455093,48.4247
4||gen=8_member=86_de,-0.0171117,47.5446
0||gen=8_member=87_de,5.86648,31.0775
1||gen=8_member=87_de,5.21851,31.1147
2||gen=8_member=87_de,5.33936,30.9489
3||gen=8_member=87_de,5.83829,31.829
4||gen=8_member=87_de,5.36608,30.9489
0||gen=8_member=88_de,0.483283,44.3648
1||gen=8_member=88_de,-0.164678,44.402
2||gen=8_member=88_de,-0.043828,44.2362
3||gen=8_member=88_de,0.455093,45.1163
4||gen=8_member=88_de,-0.0171117,44.2362
0||gen=8_member=89_de,1.27115,45.2078
1||gen=8_member=89_de,0.62319,45.245
2||gen=8_member=89_de,0.74404,45.0792
3||gen=8_member=89_de,1.24296,45.9593
4||gen=8_member=89_de,0.770756,45.0792
