member,map_to_member,constraint,risk,stack_mean,stack_stdev,pre_shift,post_shift
GEN=3_MEMBER=30_DE,GEN=0_MEMBER=2,OBJ_1,0.86603,2.72859,0.271441,4.90811,3.06932
GEN=3_MEMBER=30_DE,GEN=0_MEMBER=2,OBJ_2,0.86603,31.2219,0.329457,39.609,31.8671
GEN=3_MEMBER=31_DE,GEN=0_MEMBER=2,OBJ_1,0.731788,2.72859,0.271441,4.78613,3.04113
GEN=3_MEMBER=31_DE,GEN=0_MEMBER=2,OBJ_2,0.731788,31.2219,0.329457,38.4447,31.1529
GEN=3_MEMBER=32_DE,GEN=0_MEMBER=2,OBJ_1,0.404324,2.72859,0.271441,4.30365,2.56893
GEN=3_MEMBER=32_DE,GEN=0_MEMBER=2,OBJ_2,0.404324,31.2219,0.329457,37.1735,31.1156
GEN=3_MEMBER=33_DE,GEN=0_MEMBER=9,OBJ_1,0.224589,10.0176,0.271441,6.48135,9.83119
GEN=3_MEMBER=33_DE,GEN=0_MEMBER=9,OBJ_2,0.224589,32.263,0.329457,36.2712,32.028
GEN=3_MEMBER=34_DE,GEN=0_MEMBER=2,OBJ_1,0.86603,2.72859,0.271441,4.71675,3.06932
GEN=3_MEMBER=34_DE,GEN=0_MEMBER=2,OBJ_2,0.86603,31.2219,0.329457,40.9972,31.8671
GEN=3_MEMBER=35_DE,GEN=0_MEMBER=2,OBJ_1,0.711805,2.72859,0.271441,3.61227,3.04113
GEN=3_MEMBER=35_DE,GEN=0_MEMBER=2,OBJ_2,0.711805,31.2219,0.329457,39.9862,31.1529
GEN=3_MEMBER=36_DE,GEN=0_MEMBER=2,OBJ_1,0.34335,2.72859,0.271441,3.12392,2.54221
GEN=3_MEMBER=36_DE,GEN=0_MEMBER=2,OBJ_2,0.34335,31.2219,0.329457,41.279,30.987
GEN=3_MEMBER=37_DE,GEN=0_MEMBER=2,OBJ_1,0.310244,2.72859,0.271441,3.37026,2.54221
GEN=3_MEMBER=37_DE,GEN=0_MEMBER=2,OBJ_2,0.310244,31.2219,0.329457,40.94,30.987
GEN=3_MEMBER=38_DE,GEN=0_MEMBER=8,OBJ_1,0.86603,3.0543,0.271441,4.0243,3.39504
GEN=3_MEMBER=38_DE,GEN=0_MEMBER=8,OBJ_2,0.86603,44.557,0.329457,41.9484,45.2022
GEN=3_MEMBER=39_DE,GEN=0_MEMBER=2,OBJ_1,0.577563,2.72859,0.271441,2.97035,2.56893
GEN=3_MEMBER=39_DE,GEN=0_MEMBER=2,OBJ_2,0.577563,31.2219,0.329457,39.7039,31.1156
