member,map_to_member,constraint,risk,stack_mean,stack_stdev,pre_shift,post_shift
GEN=4_MEMBER=40_DE,GEN=0_MEMBER=2,OBJ_1,0.0644104,2.72859,0.271441,4.31202,2.42136
GEN=4_MEMBER=40_DE,GEN=0_MEMBER=2,OBJ_2,0.0644104,31.2219,0.329457,37.9588,30.987
GEN=4_MEMBER=41_DE,GEN=0_MEMBER=2,OBJ_1,0.99,2.72859,0.271441,2.23621,3.06932
GEN=4_MEMBER=41_DE,GEN=0_MEMBER=2,OBJ_2,0.99,31.2219,0.329457,45.0884,31.8671
GEN=4_MEMBER=42_DE,GEN=0_MEMBER=2,OBJ_1,0.850044,2.72859,0.271441,4.50722,3.06932
GEN=4_MEMBER=42_DE,GEN=0_MEMBER=2,OBJ_2,0.850044,31.2219,0.329457,40.3027,31.8671
GEN=4_MEMBER=43_DE,GEN=0_MEMBER=9,OBJ_1,0.352878,10.0176,0.271441,5.21144,9.83119
GEN=4_MEMBER=43_DE,GEN=0_MEMBER=9,OBJ_2,0.352878,32.263,0.329457,38.5958,32.028
GEN=4_MEMBER=44_DE,GEN=0_MEMBER=2,OBJ_1,0.99,2.72859,0.271441,2.30433,3.06932
GEN=4_MEMBER=44_DE,GEN=0_MEMBER=2,OBJ_2,0.99,31.2219,0.329457,44.2143,31.8671
GEN=4_MEMBER=45_DE,GEN=0_MEMBER=9,OBJ_1,0.593955,10.0176,0.271441,6.26376,9.8579
GEN=4_MEMBER=45_DE,GEN=0_MEMBER=9,OBJ_2,0.593955,32.263,0.329457,36.4536,32.1566
GEN=4_MEMBER=46_DE,GEN=0_MEMBER=9,OBJ_1,0.331983,10.0176,0.271441,6.00166,9.83119
GEN=4_MEMBER=46_DE,GEN=0_MEMBER=9,OBJ_2,0.331983,32.263,0.329457,36.7255,32.028
GEN=4_MEMBER=47_DE,GEN=0_MEMBER=2,OBJ_1,0.171804,2.72859,0.271441,4.36526,2.42136
GEN=4_MEMBER=47_DE,GEN=0_MEMBER=2,OBJ_2,0.171804,31.2219,0.329457,39.0893,30.987
GEN=4_MEMBER=48_DE,GEN=0_MEMBER=2,OBJ_1,0.0644104,2.72859,0.271441,3.30365,2.42136
GEN=4_MEMBER=48_DE,GEN=0_MEMBER=2,OBJ_2,0.0644104,31.2219,0.329457,40.7823,30.987
GEN=4_MEMBER=49_DE,GEN=0_MEMBER=2,OBJ_1,0.433776,2.72859,0.271441,3.45925,2.56893
GEN=4_MEMBER=49_DE,GEN=0_MEMBER=2,OBJ_2,0.433776,31.2219,0.329457,40.639,31.1156
