member,map_to_member,constraint,risk,stack_mean,stack_stdev,pre_shift,post_shift
GEN=6_MEMBER=60_DE,GEN=5_MEMBER=57_DE,OBJ_1,0.331983,0.142552,0.271441,3.27865,-0.043828
GEN=6_MEMBER=60_DE,GEN=5_MEMBER=57_DE,OBJ_2,0.331983,44.5505,0.329457,36.1855,44.3156
GEN=6_MEMBER=61_DE,GEN=5_MEMBER=59_DE,OBJ_1,0.593955,10.1426,0.271441,7.50646,9.98289
GEN=6_MEMBER=61_DE,GEN=5_MEMBER=59_DE,OBJ_2,0.593955,26.1961,0.329457,29.2769,26.0898
GEN=6_MEMBER=62_DE,GEN=5_MEMBER=51_DE,OBJ_1,0.01,0.142552,0.271441,5.3404,-0.164678
GEN=6_MEMBER=62_DE,GEN=5_MEMBER=51_DE,OBJ_2,0.01,51.5743,0.329457,34.6988,51.3394
GEN=6_MEMBER=63_DE,GEN=5_MEMBER=52_DE,OBJ_1,0.99,6.55089,0.271441,4.8084,6.89163
GEN=6_MEMBER=63_DE,GEN=5_MEMBER=52_DE,OBJ_2,0.99,24.8632,0.329457,33.8551,25.5084
GEN=6_MEMBER=64_DE,GEN=5_MEMBER=55_DE,OBJ_1,0.148435,10.1426,0.271441,4.6056,9.83532
GEN=6_MEMBER=64_DE,GEN=5_MEMBER=55_DE,OBJ_2,0.148435,21.5772,0.329457,32.1947,21.3423
GEN=6_MEMBER=65_DE,GEN=5_MEMBER=50_DE,OBJ_1,0.777595,10.1426,0.271441,7.41688,10.4551
GEN=6_MEMBER=65_DE,GEN=5_MEMBER=50_DE,OBJ_2,0.777595,26.4862,0.329457,28.9916,26.4171
GEN=6_MEMBER=66_DE,GEN=5_MEMBER=51_DE,OBJ_1,0.776914,0.142552,0.271441,5.10945,0.455093
GEN=6_MEMBER=66_DE,GEN=5_MEMBER=51_DE,OBJ_2,0.776914,51.5743,0.329457,36.9721,51.5052
GEN=6_MEMBER=67_DE,GEN=5_MEMBER=54_DE,OBJ_1,0.01,6.55089,0.271441,5.88135,6.24366
GEN=6_MEMBER=67_DE,GEN=5_MEMBER=54_DE,OBJ_2,0.01,23.9838,0.329457,30.1775,23.7489
GEN=6_MEMBER=68_DE,GEN=5_MEMBER=55_DE,OBJ_1,0.302989,10.1426,0.271441,6.83906,9.95617
GEN=6_MEMBER=68_DE,GEN=5_MEMBER=55_DE,OBJ_2,0.302989,21.5772,0.329457,27.8803,21.3423
GEN=6_MEMBER=69_DE,GEN=5_MEMBER=53_DE,OBJ_1,0.433776,2.14255,0.271441,2.60382,1.98289
GEN=6_MEMBER=69_DE,GEN=5_MEMBER=53_DE,OBJ_2,0.433776,40.2594,0.329457,37.4127,40.1531
