pp14_vani2    288707.321576    943388.393989    20        9.870000E+02
pp15_vani2    296753.991576    943388.393989    20        1.231000E+03
pp16_vani2    304800.661576    943388.393989    20        1.231000E+03
pp17_vani2    312847.331576    943388.393989    20        1.231000E+03
pp91_vani2    280660.651576    951435.063989    20        9.870000E+02
pp92_vani2    288707.321576    951435.063989    20        9.870000E+02
pp93_vani2    296753.991576    951435.063989    20        1.231000E+03
pp94_vani2    304800.661576    951435.063989    20        1.231000E+03
pp95_vani2    312847.331576    951435.063989    20        1.231000E+03
pp170_vani2    288707.321576    959481.733989    20         9.870000E+02
pp171_vani2    296753.991576    959481.733989    20         1.231000E+03
pp172_vani2    304800.661576    959481.733989    20         1.231000E+03
pp173_vani2    312847.331576    959481.733989    20         1.231000E+03
pp174_vani2    320894.001576    959481.733989    20         1.231000E+03
pp175_vani2    328940.671576    959481.733989    20         1.231000E+03
pp250_vani2    304800.661576    967528.403989    20         1.231000E+03
pp251_vani2    312847.331576    967528.403989    20         1.231000E+03
pp252_vani2    320894.001576    967528.403989    20         1.231000E+03
pp253_vani2    328940.671576    967528.403989    20         1.231000E+03
pp254_vani2    336987.341576    967528.403989    20         1.231000E+03
pp255_vani2    345034.011576    967528.403989    20         1.231000E+03
pp256_vani2    353080.681576    967528.403989    20         1.231000E+03
pp308_vani2    771507.521576    967528.403989    20         5.000000E+02
pp310_vani2    787600.861576    967528.403989    20         5.000000E+02
pp311_vani2    795647.531576    967528.403989    20         5.000000E+02
pp333_vani2    345034.011576    975575.073989    20         1.231000E+03
pp334_vani2    353080.681576    975575.073989    20         1.231000E+03
pp335_vani2    361127.351576    975575.073989    20         1.231000E+03
pp382_vani2    739320.841576    975575.073989    20         5.000000E+02
pp383_vani2    747367.511576    975575.073989    20         5.000000E+02
pp385_vani2    763460.851576    975575.073989    20         5.000000E+02
pp386_vani2    771507.521576    975575.073989    20         5.000000E+02
pp387_vani2    779554.191576    975575.073989    20         5.000000E+02
pp388_vani2    787600.861576    975575.073989    20         5.000000E+02
pp390_vani2    803694.201576    975575.073989    20         5.000000E+02
pp412_vani2    353080.681576    983621.743989    20         1.231000E+03
pp413_vani2    361127.351576    983621.743989    20         1.231000E+03
pp414_vani2    369174.021576    983621.743989    20         1.475000E+03
