time,TRGW_2_2_15,TRGW_2_2_9,TRGW_2_3_8,TRGW_2_9_1,TRGW_2_13_10,TRGW_2_15_16,TRGW_2_21_10,TRGW_2_22_15,TRGW_2_24_4,TRGW_2_26_6,TRGW_2_29_15,TRGW_2_33_7,TRGW_2_34_10,TRGW_0_2_15,TRGW_0_2_9,TRGW_0_3_8,TRGW_0_9_1,TRGW_0_13_10,TRGW_0_15_16,TRGW_0_21_10,TRGW_0_22_15,TRGW_0_24_4,TRGW_0_26_6,TRGW_0_29_15,TRGW_0_33_7,TRGW_0_34_10
1.000000000000,34.33937230,34.58165331,34.61127134,34.87223588,34.25758839,34.13640359,34.14448750,34.02767238,34.31086865,34.17162419,33.94508989,33.98022583,33.88471987,34.29074762,34.58742079,34.61705412,34.87814743,34.26320156,34.14161680,34.15008861,33.99237961,34.31658243,34.17724503,33.90988540,33.98575556,33.89022613
32.00000000000,34.42218502,34.68023743,34.71136390,34.97244011,34.38068973,34.24512329,34.27171875,34.13752850,34.43667037,34.31265391,34.03961233,34.09691035,33.99998844,34.36219259,34.68600697,34.71710730,34.97830765,34.38557370,34.24992050,34.27646161,34.08695520,34.44155710,34.31700025,33.99204200,34.10189776,34.00499662
61.00000000000,34.49557704,34.77764205,34.81121394,35.08266818,34.48104192,34.32975002,34.37562144,34.21858442,34.55393964,34.42657425,34.11488247,34.18913233,34.07921984,34.42509073,34.78381623,34.81732701,35.08856638,34.48693902,34.33550315,34.38138649,34.15745589,34.55938618,34.43202122,34.05764246,34.19519742,34.08566333
92.00000000000,34.54096573,34.84768993,34.88408781,35.17685161,34.53538090,34.37178789,34.43102574,34.25709046,34.63052940,34.48974413,34.15223311,34.23607206,34.11310988,34.46382211,34.85443916,34.89077008,35.18300261,34.54242909,34.37847440,34.43801882,34.19107206,34.63699173,34.49650320,34.09024889,34.24322370,34.12063872
122.0000000000,34.53769195,34.85894751,34.89741235,35.21345140,34.51953707,34.35288999,34.41387232,34.23631874,34.63303795,34.47528216,34.13582370,34.21763047,34.08698150,34.46072973,34.86612178,34.90454045,35.21995495,34.52737279,34.36012200,34.42173827,34.17338375,34.64042875,34.48307964,34.07612497,34.22543246,34.09498829
153.0000000000,34.48566524,34.80541048,34.84435998,35.17809291,34.43653812,34.27719252,34.32606160,34.15987864,34.55509589,34.38257419,34.06813308,34.13661938,34.00704280,34.41577009,34.81270682,34.85165848,35.18496989,34.44454904,34.28435935,34.33420937,34.10741637,34.56307417,34.39087668,34.01733201,34.14444228,34.01482631
183.0000000000,34.39984723,34.70152180,34.73906428,35.07675306,34.31151206,34.16796092,34.19491783,34.05161549,34.42077340,34.24069377,33.97004254,34.01820184,33.89743708,34.34189519,34.70861422,34.74622170,35.08391450,34.31909917,34.17457915,34.20268287,34.01369289,34.42878606,34.24882174,33.93192699,34.02546515,33.90439570
214.0000000000,34.29952175,34.56998042,34.60442940,34.93054837,34.17279230,34.05021757,34.05029905,33.93636025,34.25931751,34.08111063,33.86457844,33.88941046,33.78400584,34.25572709,34.57654121,34.61110621,34.93772936,34.17941567,34.05587871,34.05709086,33.91359555,34.26676770,34.08838723,33.83982226,33.89562728,33.78973209
245.0000000000,34.21397656,34.44914899,34.47966005,34.78146247,34.05965905,33.95716625,33.93300681,33.84625016,34.11679193,33.94842372,33.78165130,33.78661158,33.69792765,34.18249756,34.45505112,34.48570416,34.78841985,34.06518329,33.96186676,33.93864969,33.83511753,34.12333864,33.95456367,33.76718217,33.79173125,33.70251718
275.0000000000,34.16535894,34.37169529,34.39858123,34.67128296,33.99864953,33.91002209,33.87022059,33.80138134,34.02892744,33.87341402,33.74060890,33.73334226,33.65741829,34.14127875,34.37705877,34.40408005,34.67787653,34.00336110,33.91413671,33.87498309,33.79605672,34.03460115,33.87858754,33.73123675,33.73773490,33.66138103
306.0000000000,34.16550220,34.35508820,34.37940791,34.62384604,34.00665785,33.92272833,33.87898838,33.81581254,34.01634148,33.87672166,33.75287008,33.74439900,33.67640852,34.14198579,34.36006103,34.38447556,34.62995467,34.01074086,33.92649314,33.88303508,33.80862130,34.02115087,33.88096106,33.74210024,33.74830963,33.68005845
336.0000000000,34.21347581,34.40244830,34.42595235,34.65004831,34.08274580,33.99342513,33.95937912,33.88780984,34.08422206,33.95979809,33.81731481,33.81857201,33.75144014,34.18359693,34.40732019,34.43087133,34.65577558,34.08658057,33.99722024,33.96306675,33.87112536,34.08840584,33.96342233,33.79855977,33.82237967,33.75520918
367.0000000000,34.29865903,34.50344093,34.52803015,34.74363269,34.20956040,34.10496963,34.09253036,33.99904204,34.21725596,34.10348353,33.91720307,33.93881010,33.86412627,34.25681222,34.50846303,34.53303965,34.74904754,34.21365451,34.10919483,34.09641413,33.96752100,34.22124324,34.10706453,33.88575793,33.94301208,33.86853834
398.0000000000,34.39462613,34.62673202,34.65397378,34.87562194,34.34797943,34.22309240,34.23760523,34.11556704,34.37478165,34.26381112,34.02195970,34.06812676,33.97991440,34.33897843,34.63213305,34.65931159,34.88090056,34.35276280,34.22800230,34.24216536,34.06832938,34.37906509,34.26792361,33.97692339,34.07309380,33.98526209
426.0000000000,34.46714907,34.72657573,34.75683730,34.99387450,34.44982181,34.30753832,34.34448347,34.19798500,34.49999272,34.38447213,34.09646717,34.16189648,34.05977144,34.40084694,34.73242543,34.76260248,34.99922493,34.45544020,34.31312748,34.34991431,34.13957605,34.50490495,34.38944848,34.04162379,34.16769240,34.06600394
457.0000000000,34.50708091,34.79093432,34.82427108,35.08546871,34.50153711,34.34688571,34.39878295,34.23509633,34.57719671,34.44949378,34.13057533,34.20746755,34.09255167,34.43461570,34.79724666,34.83050662,35.09106570,34.50806071,34.35310315,34.40520723,34.17168438,34.58303242,34.45560060,34.07116324,34.21407432,34.09951798
487.0000000000,34.49582328,34.79130868,34.82656598,35.11123256,34.47937488,34.32273319,34.37623724,34.20978419,34.57345421,34.43038529,34.10862889,34.18400730,34.06237964,34.42448005,34.79790067,34.83311235,35.11713940,34.48649491,34.32927897,34.38335949,34.14983200,34.58011594,34.43741175,34.05199263,34.19106242,34.06961067
518.0000000000,34.43641122,34.72679423,34.76217569,35.06236286,34.38874589,34.24083381,34.28154619,34.12758786,34.48735631,34.33047441,34.03547126,34.09726419,33.97707052,34.37316779,34.73343619,34.76883062,35.06864903,34.39601607,34.24728049,34.28892638,34.07889167,34.49459969,34.33802833,33.98842275,34.10431592,33.98404646
548.0000000000,34.34875108,34.61979590,34.65356334,34.95696723,34.26052122,34.12926396,34.14766988,34.01707089,34.35006502,34.18471765,33.93657162,33.97675408,33.86532273,34.29782454,34.62622984,34.66006707,34.96349070,34.26747157,34.13527377,34.15478722,33.98330047,34.35741768,34.19222695,33.90233509,33.98336083,33.87162893
579.0000000000,34.25409166,34.49607442,34.52687043,34.82034332,34.12558560,34.01470446,34.00669762,33.90443583,34.19461044,34.02850888,33.83509464,33.85177699,33.75434508,34.21674875,34.50208394,34.53299093,34.82690924,34.13179511,34.02001481,34.01308208,33.88568048,34.20157048,34.03538346,33.81386050,33.85758420,33.75970441
610.0000000000,34.18346078,34.39588360,34.42331973,34.69694820,34.02826663,33.93474639,33.90478582,33.82658970,34.07111224,33.91250941,33.76462540,33.76324696,33.68049760,34.15654570,34.40137799,34.42893725,34.70333728,34.03354630,33.93930851,33.91019807,33.81798439,34.07730027,33.91837610,33.75221186,33.76817486,33.68495634
640.0000000000,34.15758071,34.34912961,34.37379203,34.62323491,33.99695670,33.91281775,33.87209727,33.80677352,34.01730959,33.87157416,33.74576146,33.73712592,33.66516560,34.13492969,34.35421092,34.37897969,34.62934830,34.00142408,33.91683000,33.87660475,33.80074331,34.02260146,33.87636985,33.73579387,33.74135276,33.66902360
671.0000000000,34.18294786,34.36690288,34.39005878,34.61752180,34.03947413,33.95485693,33.91639572,33.85004678,34.04506866,33.91469137,33.78413222,33.77970434,33.71259283,34.15722744,34.37175352,34.39497619,34.62327432,34.04344449,33.95865953,33.92030129,33.83834151,34.04958521,33.91865516,33.76946870,33.78358650,33.71631434
701.0000000000,34.25121487,34.44394292,34.46740685,34.68225796,34.14207195,34.04660063,34.02350656,33.94189076,34.14634261,34.02880638,33.86622605,33.87740661,33.80701365,34.21609012,34.44880889,34.47228203,34.68768321,34.14599613,34.05059588,34.02727387,33.91801347,34.15039805,34.03237503,33.84128487,33.88139891,33.81108962
732.0000000000,34.34569237,34.56165422,34.58719637,34.80222457,34.27947555,34.16540065,34.16706763,34.05940253,34.29662908,34.18574941,33.97171847,34.00602338,33.92483372,34.29711970,34.56680887,34.59230530,34.80746129,34.28387946,34.16995905,34.17126587,34.01974823,34.30072595,34.18955925,33.93321847,34.01060411,33.92971584
