x y z
1660650.0 5417850.0 0.0
1660950.0 5417850.0 0.0
1661250.0 5417850.0 0.0
1661550.0 5417850.0 0.0
1661850.0 5417850.0 0.0
1662150.0 5417850.0 0.0
1662450.0 5417850.0 0.0
1662750.0 5417850.0 0.0
1663050.0 5417850.0 0.0
1663350.0 5417850.0 0.0
1663650.0 5417850.0 0.0
1663950.0 5417850.0 0.0
1664250.0 5417850.0 0.0
1664550.0 5417850.0 0.0
1664850.0 5417850.0 0.0
1665150.0 5417850.0 0.0
1665450.0 5417850.0 0.0
1665750.0 5417850.0 0.0
1666050.0 5417850.0 0.0
1666350.0 5417850.0 0.0
1666650.0 5417850.0 0.0
1666950.0 5417850.0 0.0
1667250.0 5417850.0 0.0
1667550.0 5417850.0 0.0
1667850.0 5417850.0 0.0
1668150.0 5417850.0 0.0
1668450.0 5417850.0 0.0
1668750.0 5417850.0 0.0
1669050.0 5417850.0 0.0
1669350.0 5417850.0 0.0
1669650.0 5417850.0 0.0
1669950.0 5417850.0 0.0
1670250.0 5417850.0 0.0
1670550.0 5417850.0 0.0
1670850.0 5417850.0 0.0
1671150.0 5417850.0 0.0
1671450.0 5417850.0 0.0
1671750.0 5417850.0 0.0
1672050.0 5417850.0 0.0
1672350.0 5417850.0 0.0
1672650.0 5417850.0 0.0
1672950.0 5417850.0 0.0
1673250.0 5417850.0 0.0
1673550.0 5417850.0 0.0
1673850.0 5417850.0 0.0
1674150.0 5417850.0 0.0
1674450.0 5417850.0 0.0
1674750.0 5417850.0 0.0
1675050.0 5417850.0 0.0
1675350.0 5417850.0 0.0
1675650.0 5417850.0 0.0
1675950.0 5417850.0 0.0
1676250.0 5417850.0 0.0
1676550.0 5417850.0 0.0
1676850.0 5417850.0 0.0
1677150.0 5417850.0 0.0
1677450.0 5417850.0 0.0
1677750.0 5417850.0 0.0
1678050.0 5417850.0 0.0
1678350.0 5417850.0 0.0
1678650.0 5417850.0 0.0
1678950.0 5417850.0 0.0
1679250.0 5417850.0 0.0
1679550.0 5417850.0 0.0
1679850.0 5417850.0 0.0
1680150.0 5417850.0 0.0
1680450.0 5417850.0 0.0
1680750.0 5417850.0 0.0
1681050.0 5417850.0 0.0
1681350.0 5417850.0 0.0
1681650.0 5417850.0 0.0
1681950.0 5417850.0 0.0
1682250.0 5417850.0 0.0
1682550.0 5417850.0 0.0
1682850.0 5417850.0 0.0
1683150.0 5417850.0 0.0
1683450.0 5417850.0 0.0
1683750.0 5417850.0 0.0
1684050.0 5417850.0 0.0
1684350.0 5417850.0 0.0
1684650.0 5417850.0 0.0
1684950.0 5417850.0 0.0
1685250.0 5417850.0 0.0
1685550.0 5417850.0 0.0
1685850.0 5417850.0 0.0
1686150.0 5417850.0 0.0
1686450.0 5417850.0 0.0
1686750.0 5417850.0 0.0
1687050.0 5417850.0 0.0
1687350.0 5417850.0 247.271
1687650.0 5417850.0 137.433
1687950.0 5417850.0 64.009
1688250.0 5417850.0 64.009
1688550.0 5417850.0 64.009
1688850.0 5417850.0 64.709
1689150.0 5417850.0 64.709
1689450.0 5417850.0 -0.5
1689750.0 5417850.0 -0.5
1690050.0 5417850.0 0.0
1690350.0 5417850.0 0.0
1690650.0 5417850.0 0.0
1690950.0 5417850.0 0.0
1691250.0 5417850.0 0.0
1691550.0 5417850.0 0.0
1691850.0 5417850.0 0.0
1692150.0 5417850.0 0.0
1692450.0 5417850.0 0.0
1692750.0 5417850.0 0.0
1693050.0 5417850.0 0.0
1693350.0 5417850.0 0.0
1693650.0 5417850.0 0.0
1693950.0 5417850.0 0.0
1694250.0 5417850.0 0.0
1694550.0 5417850.0 0.0
1694850.0 5417850.0 0.0
1695150.0 5417850.0 0.0
1695450.0 5417850.0 0.0
