hkpp1            625.0000    9375.0000 1        5.50000e+00
hkpp2           1375.0000    9375.0000 1        5.50000e+00
hkpp3           2125.0000    9375.0000 1        5.50000e+00
hkpp4           2875.0000    9375.0000 1        5.50000e+00
hkpp5           3625.0000    9375.0000 1        5.50000e+00
hkpp6           4375.0000    9375.0000 1        5.50000e+00
hkpp7            625.0000    8625.0000 1        5.50000e+00
hkpp8           1375.0000    8625.0000 1        5.50000e+00
hkpp9           2125.0000    8625.0000 1        5.50000e+00
hkpp10          2875.0000    8625.0000 1        5.50000e+00
hkpp11          3625.0000    8625.0000 1        5.50000e+00
hkpp12          4375.0000    8625.0000 1        5.50000e+00
hkpp13           625.0000    7875.0000 1        5.50000e+00
hkpp14          2125.0000    7875.0000 1        5.50000e+00
hkpp15          2875.0000    7875.0000 1        5.50000e+00
hkpp16          3625.0000    7875.0000 1        5.50000e+00
hkpp17          4375.0000    7875.0000 1        5.50000e+00
hkpp18           625.0000    7125.0000 1        5.50000e+00
hkpp19          2125.0000    7125.0000 1        5.50000e+00
hkpp20          2875.0000    7125.0000 1        5.50000e+00
hkpp21          3625.0000    7125.0000 1        5.50000e+00
hkpp22          4375.0000    7125.0000 1        5.50000e+00
hkpp23           625.0000    6375.0000 1        5.50000e+00
hkpp24          2125.0000    6375.0000 1        5.50000e+00
hkpp25          2875.0000    6375.0000 1        5.50000e+00
hkpp26          3625.0000    6375.0000 1        5.50000e+00
hkpp27          4375.0000    6375.0000 1        5.50000e+00
hkpp28           625.0000    5625.0000 1        5.50000e+00
hkpp29          2125.0000    5625.0000 1        5.50000e+00
hkpp30          2875.0000    5625.0000 1        5.50000e+00
hkpp31          3625.0000    5625.0000 1        5.50000e+00
hkpp32          4375.0000    5625.0000 1        5.50000e+00
hkpp33           625.0000    4875.0000 1        5.50000e+00
hkpp34          2125.0000    4875.0000 1        5.50000e+00
hkpp35          2875.0000    4875.0000 1        5.50000e+00
hkpp36          3625.0000    4875.0000 1        5.50000e+00
hkpp37          4375.0000    4875.0000 1        5.50000e+00
hkpp38           625.0000    4125.0000 1        5.50000e+00
hkpp39          1375.0000    4125.0000 1        5.50000e+00
hkpp40          2125.0000    4125.0000 1        5.50000e+00
hkpp41          2875.0000    4125.0000 1        5.50000e+00
hkpp42          3625.0000    4125.0000 1        5.50000e+00
hkpp43          4375.0000    4125.0000 1        5.50000e+00
hkpp44           625.0000    3375.0000 1        5.50000e+00
hkpp45          1375.0000    3375.0000 1        5.50000e+00
hkpp46          2125.0000    3375.0000 1        5.50000e+00
hkpp47          2875.0000    3375.0000 1        5.50000e+00
hkpp48          3625.0000    3375.0000 1        5.50000e+00
hkpp49          4375.0000    3375.0000 1        5.50000e+00
hkpp50           625.0000    2625.0000 1        5.50000e+00
hkpp51          1375.0000    2625.0000 1        5.50000e+00
hkpp52          2125.0000    2625.0000 1        5.50000e+00
hkpp53          2875.0000    2625.0000 1        5.50000e+00
hkpp54          3625.0000    2625.0000 1        5.50000e+00
hkpp55          4375.0000    2625.0000 1        5.50000e+00
hkpp56           625.0000    1875.0000 1        5.50000e+00
hkpp57          1375.0000    1875.0000 1        5.50000e+00
hkpp58          2125.0000    1875.0000 1        5.50000e+00
hkpp59          2875.0000    1875.0000 1        5.50000e+00
hkpp60          3625.0000    1875.0000 1        5.50000e+00
hkpp61          4375.0000    1875.0000 1        5.50000e+00
hkpp62          1375.0000    1125.0000 1        5.50000e+00
hkpp63          2125.0000    1125.0000 1        5.50000e+00
hkpp64          2875.0000    1125.0000 1        5.50000e+00
hkpp65          3625.0000    1125.0000 1        5.50000e+00
hkpp66          4375.0000    1125.0000 1        5.50000e+00
hkpp67          1375.0000     375.0000 1        5.50000e+00
hkpp68          2125.0000     375.0000 1        5.50000e+00
hkpp69          2875.0000     375.0000 1        5.50000e+00
hkpp70          3625.0000     375.0000 1        5.50000e+00
