name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
STAGE,1.18482,0.36928,0.446259,1.92338,1.18482,0.132194,0.920432,1.44921
K_01,0.0340667,0.5,-0.965933,1.03407,0.0340667,0.496734,-0.9594,1.02753
K_02,-1.11022e-16,0.5,-1,1,-1.11022e-16,0.486803,-0.973605,0.973605
K_03,-1.11022e-16,0.5,-1,1,-1.11022e-16,0.486803,-0.973605,0.973605
K_04,-1.11022e-16,0.5,-1,1,-1.11022e-16,0.454019,-0.908037,0.908037
K_05,-1.11022e-16,0.5,-1,1,-1.11022e-16,0.288516,-0.577031,0.577031
K_06,-1.11022e-16,0.5,-1,1,-1.11022e-16,0.45641,-0.912821,0.912821
K_07,-1.11022e-16,0.5,-1,1,-1.11022e-16,0.5,-1,1
K_08,-1.11022e-16,0.5,-1,1,-1.11022e-16,0.5,-1,1
K_09,-1.11022e-16,0.5,-1,1,-1.11022e-16,0.5,-1,1
K_10,-1.11022e-16,0.5,-1,1,-1.11022e-16,0.5,-1,1
